catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Mozambique,President,Filipe Nyusi,Q5448556,2015-02-02,male,1959-02-09,,Filipe Nyusi - 2019 (cropped).jpg,Filipe Nyusi
Mozambique,Prime Minister,Adriano Maleiane,Q44275924,2022-03-03,male,1949-11-06,,Adriano Maleiane.jpg,Adriano Maleiane
Mozambique,Minister of Agriculture and Rural Development,Celso Ismael Correia,Q62274562,2020-01-17,male,,,,
Mozambique,Minister of Culture and Tourism,Eldevina Materula,Q105038571,2020-01-17,female,1982,,,Eldevina Materula
Mozambique,Minister of Defence,Cristóvão Artur Chume,Q109951064,2020-11-15,male,,,,Cristóvão Artur Chume
Mozambique,Minister of Economy and Finances,Ernesto Max Elias Tonela,Q109950517,2022-03-03,male,,,"H.E. Ernesto Max TONELA, Minister of Industry and Trade, Mozambique (34313397171) (cropped).jpg",Ernesto Max Elias Tonela
Mozambique,Minister of Education and Human Development,Carmelita Namashulua,Q19816448,2020-01-17,female,1962-12-02,,,
Mozambique,Minister of Foreign Affairs,Verónica Macamo,Q6722501,2020-01-17,female,1957-11-13,,"President of National Assembly, Veronica Macamo, at Maputo, in Mozambique (cropped).jpg",Verónica Macamo
Mozambique,"Minister of Gender, Children and Social Welfare",Nyeleti Mondlane,Q27220074,2020-01-23,female,1962-01-17,,,Nyeleti Brooke Mondlane
Mozambique,Minister of Health,Armindo Tiago,Q97493215,2020-01-18,male,,,,
Mozambique,Minister of Industry and Trade,Silvino Augusto José Moreno,Q111745081,2022-03-13,male,,,,
Mozambique,Minister of the Interior,Arsénia Massingue,Q109951071,2020-11-15,female,,,,Arsénia Massingue
Mozambique,Minister of Justice and Constitutional and Religious Affairs,Helena Mateus Kida,Q109950530,2020-01-17,female,,,,
Mozambique,Minister of Labour,Margarida Adamugy Talapa,Q109950528,2020-01-17,female,,,,
Mozambique,Minister of Land and Environment,Ivete Maibase,Q109950524,2020-01-17,female,,,,
Mozambique,Minister of Mineral Resources and Energy,Carlos Joaquim Zacarias,Q111745069,2022-03-03,male,,,,
Mozambique,Minister of Public Works,Carlos Alberto Fortes Mesquita,Q105497841,2022-03-13,male,1962-03-25,,Carlos Alberto Fortes Mesquita - 2018 (cropped).jpg,
Mozambique,"Minister of Science, Technology and Higher Education",Daniel Nivagara,Q109950683,2020-11-25,male,,,,
Mozambique,"Minister of The Sea, Inland Waters and Fisheries",Lídia de Fátima da Graça Cardoso,Q111745067,2022-03-09,female,,,,
Mozambique,Minister of State Administration and Public Service,Ana Comoana,Q97061538,2020-01-22,female,1960-10-30,,,
Mozambique,Minister of Transport and Communications,Janfar Abdulai,Q109950964,2020-01-17,male,1985-09-04,,,
Mozambique,Minister in the President’s Office,Constantino Bacela,Q109950753,2021-11-15,male,,,,
Mozambique,Attorney General,Beatriz Buchili,Q27480289,2014-07-21,female,,,,Beatriz Buchili
Mozambique,Speaker of the Assembly,Esperança Bias,Q5398931,2020-01-13,female,1958-07-28,,Esperança Bias.jpg,Esperança Bias
Mozambique,Governor of the Central Bank,Rogério Zandamela,Q109951850,2016-08,male,,,,
Mozambique,Chief of General Staff,Joaquim Rivas Mangrasse,Q109952011,2021-03-13,male,,,,
