catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Mozambique,Member of the Assembly of the Republic,Maria Veloso,Q105325412,1977,,female,,,,Maria Veloso
Mozambique,Member of the Assembly of the Republic,Teresa Tembo,Q105326781,1977,,female,,,,Teresa Tembo
Mozambique,Member of the Assembly of the Republic,Teodato Hunguana,Q7701012,1977,2003,male,1946,,Teodato Hunguana.jpg,Teodato Hunguana
Mozambique,Member of the Assembly of the Republic,Nyeleti Mondlane,Q27220074,1994,2014,female,1962-01-17,,,Nyeleti Brooke Mondlane
Mozambique,Member of the Assembly of the Republic,Verónica Macamo,Q6722501,1994,,female,1957-11-13,,"President of National Assembly, Veronica Macamo, at Maputo, in Mozambique (cropped).jpg",Verónica Macamo
Mozambique,Member of the Assembly of the Republic,Maria Angelina Dique Enoque,Q6760997,1994,,female,1953-04-18,,,Maria Angelina Dique Enoque
Mozambique,Member of the Assembly of the Republic,Osfo Momad,Q55106039,1999,2018,male,1961-01-30,,Ossufo Momade VOA.jpg,Ossufo Momade
Mozambique,Member of the Assembly of the Republic,Manuel de Araújo,Q6752965,2004,2009,male,1970-10-11,,Manuel de Araujo USAID.jpg,Manuel de Araújo
Mozambique,Member of the Assembly of the Republic,Ivone Soares,Q19613993,2009,,female,1979-10-23,,Ivone Soares in Maputo Mozambique.jpg,Ivone Soares
Mozambique,Member of the Assembly of the Republic,Esperança Bias,Q5398931,2015,,female,1958-07-28,,,Esperança Bias
Mozambique,Member of the Assembly of the Republic,Eneas da Conceição Comiche,Q10272837,2015-01-12,2020-01-13,male,1939-07-28,,,
Mozambique,Member of the Assembly of the Republic,Cidália Chaúque Oliveira,Q106307313,2015-01-12,2020-01-13,female,1972,,,Cidália Chaúque Oliveira
Mozambique,Member of the Assembly of the Republic,Margarida Adamugy Talapa,Q109950528,2015-01-12,2020-01-13,female,,,,
Mozambique,Member of the Assembly of the Republic,Conceita Ernesto Xavier Sortane,Q111828621,2015-01-12,2020-01-13,female,,,,
Mozambique,Member of the Assembly of the Republic,Abacar Chande,Q111841428,2015-01-12,2020-01-13,male,,,,
Mozambique,Member of the Assembly of the Republic,Abdala Ossifo Ibraimo,Q111841429,2015-01-12,2020-01-13,male,,,,
Mozambique,Member of the Assembly of the Republic,Abdul Gafur Mamade Hossene Issufo,Q111841432,2015-01-12,2020-01-13,male,,,,
Mozambique,Member of the Assembly of the Republic,Abiba Aba,Q111841433,2015-01-12,2020-01-13,female,,,,
