catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Nepal,King,Birendra of Nepal,Q162306,1972-01-31,2001-06-01,male,1945-12-28,2001-06-01,Birendra Bir Bikram Shah.jpg,Birendra of Nepal
Nepal,King,Dipendra of Nepal,Q311235,2001-06-01,2001-06-03,male,1971-06-27,2001-06-04,Crown Prince Dependra Bikram Shah Dev.jpg,Dipendra of Nepal
Nepal,King,Gyanendra of Nepal,Q201327,2001-06-04,2008-05-28,male,1947-07-07,,Gyanendra 01.jpg,Gyanendra of Nepal
Nepal,President,Ram Baran Yadav,Q57441,2008-07-23,2015-10-28,male,1948-02-04,,Ram Baran Yadav 2008-08-26.jpg,Ram Baran Yadav
Nepal,President,Bidya Devi Bhandari,Q16193958,2015-10-29,,female,1961-06-19,,Shinzo Abe and Bidhya Devi Bhandari at the Enthronement of Naruhito (1) (cropped).jpg,Bidya Devi Bhandari
Nepal,Vice President,Parmanand Jha,Q2482925,2008-07-23,2015-10-31,male,1944,,परमानन्द.jpg,Parmanand Jha
Nepal,Vice President,Nanda Kishor Pun,Q596635,2015-10-31,,male,1966-10-23,,Nanda Kishore Pun.png,Nanda Kishor Pun
Nepal,Prime Minister,Krishna Prasad Bhattarai,Q380145,1999-05-31,2000-03-22,male,1924-12-24,2011-03-04,Krishna bhattarai.jpg,Krishna Prasad Bhattarai
Nepal,Prime Minister,Girija Prasad Koirala,Q220991,2000-03-22,2001-07-26,male,1925-02-20,2010-03-20,Girija P koirala.jpg,Girija Prasad Koirala
Nepal,Prime Minister,Sher Bahadur Deuba,Q470903,2001-07-26,2002-10-04,male,1946-06-13,,"Prime Minister of Nepal, Shri Sher Bahadur Deuba, in Glasgow, Scotland on November 02, 2021 (1).jpg",Sher Bahadur Deuba
Nepal,Prime Minister,Lokendra Bahadur Chand,Q2628548,2002-10-11,2003-06-05,male,1940-02-15,,,Lokendra Bahadur Chand
Nepal,Prime Minister,Surya Bahadur Thapa,Q983444,2003-06-05,2004-06-03,male,1928,2015-04-15,Surya Bahadur Thapa 2005-11-24.jpg,Surya Bahadur Thapa
Nepal,Prime Minister,Sher Bahadur Deuba,Q470903,2004-06-03,2005-02-01,male,1946-06-13,,"Prime Minister of Nepal, Shri Sher Bahadur Deuba, in Glasgow, Scotland on November 02, 2021 (1).jpg",Sher Bahadur Deuba
Nepal,Prime Minister,Girija Prasad Koirala,Q220991,2006-04-25,2008-08-18,male,1925-02-20,2010-03-20,Girija P koirala.jpg,Girija Prasad Koirala
Nepal,Prime Minister,Pushpa Kamal Dahal,Q315500,2008-08-18,2009-05-25,male,1954-12-11,,Prachanda 2009.jpg,Pushpa Kamal Dahal
Nepal,Prime Minister,Jhala Nath Khanal,Q57819,2011-02-06,2011-08-29,male,1950-05-20,,J.n (2).jpg,Jhala Nath Khanal
Nepal,Prime Minister,Baburam Bhattarai,Q57816,2011-08-29,2013-03-14,male,1954-06-18,,Baburam bhattarai.jpg,Baburam Bhattarai
Nepal,Prime Minister,Khil Raj Regmi,Q6401600,2013-03-14,2014-02-11,male,1949-05-31,,Khilaraj regmi.jpg,Khil Raj Regmi
Nepal,Prime Minister,Sushil Koirala,Q422969,2014-02-11,2015-10-12,male,1939-08-12,2016-02-09,Sushil Koirala 2010-04-15.jpg,Sushil Koirala
Nepal,Prime Minister,Khadga Prasad Sharma Oli,Q3195923,2015-10-12,2016-08-04,male,1952-02-22,,"Prime Minister of Nepal, Mr. K.P. Sharma Oli, at Hyderabad House, in New Delhi on April 07, 2018 (1).jpg",KP Sharma Oli
Nepal,Prime Minister,Pushpa Kamal Dahal,Q315500,2016-08-04,2017-06-07,male,1954-12-11,,Prachanda 2009.jpg,Pushpa Kamal Dahal
Nepal,Prime Minister,Sher Bahadur Deuba,Q470903,2017-06-07,2018-02-15,male,1946-06-13,,"Prime Minister of Nepal, Shri Sher Bahadur Deuba, in Glasgow, Scotland on November 02, 2021 (1).jpg",Sher Bahadur Deuba
Nepal,Prime Minister,Khadga Prasad Sharma Oli,Q3195923,2018-02-15,2021-07-13,male,1952-02-22,,"Prime Minister of Nepal, Mr. K.P. Sharma Oli, at Hyderabad House, in New Delhi on April 07, 2018 (1).jpg",KP Sharma Oli
Nepal,Prime Minister,Sher Bahadur Deuba,Q470903,2021-07-13,,male,1946-06-13,,"Prime Minister of Nepal, Shri Sher Bahadur Deuba, in Glasgow, Scotland on November 02, 2021 (1).jpg",Sher Bahadur Deuba
Nepal,Deputy Prime Minister,Khadga Prasad Sharma Oli,Q3195923,2006,2007,male,1952-02-22,,"Prime Minister of Nepal, Mr. K.P. Sharma Oli, at Hyderabad House, in New Delhi on April 07, 2018 (1).jpg",KP Sharma Oli
Nepal,Minister of Agriculture and Livestock Development,Mahendra Raya Yadav,Q66906524,2021-10-08,,male,,,,Mahendra Raya Yadav
Nepal,Minister of Communications and Information Technology,Minendra Rijal,Q17388671,2014-02-25,2015-10-12,male,1957-10-01,,,Minendra Rijal
Nepal,Minister of Communications and Information Technology,Gyanendra Bahadur Karki,Q30300972,2021-10-08,,male,1957-02-22,,Nepali Minister Gyanendra Bahadur Karki - 2017 (37086219821) (cropped).jpg,Gyanendra Bahadur Karki
Nepal,"Minister for Constituent Assembly, Parliamentary Affairs and Culture",Minendra Rijal,Q17388671,2009-05-25,2011-02-06,male,1957-10-01,,,Minendra Rijal
Nepal,"Minister of Culture, Tourism and Civil Aviation",Prem Bahadur Ale,Q45086562,2021-10-08,,male,1971-04-28,,Prem Ale.jpg,Prem Ale
Nepal,Minister of Defence,Minendra Rijal,Q17388671,2021-10-08,2021-12-16,male,1957-10-01,,,Minendra Rijal
