id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107431,Pedro Pires,male,1934-04-29,11,,,Pedro Verona Rodrigues Pires.jpg,Pedro Pires
Q108292440,Jorge Tolentino,,,,,,,
Q108745687,Fernando Elísio Freire,male,1974,9,,,,Fernando Elísio Freire
Q108782678,Gilberto Correia Carvalho Silva,male,,,,,,Gilberto Correia Carvalho Silva
Q108782778,Arlindo Nascimento do Rosário,male,1961-12-09,11,,,,Arlindo do Rosário
Q111732093,Joana Rosa,female,,,,,,
Q114612805,Abraão Aníbal Barbosa Vicente,,,,,,,
Q114612806,Alexandre Dias Monteiro,,,,,,,
Q114612807,Amadeu Cruz,male,,,,,,
Q114612809,Carlos Jorge Duarte Santos,,,,,,,
Q114612811,Carlos Monteiro,,,,,,,
Q114612812,Edna Manuela Miranda de Oliveira,,,,,,,
Q114612813,Filomena Mendes Gonçalves,,,,,,,
Q114612814,Janine Tatiana Santos Lélis,female,,,,,,
Q114612816,Jorge Santos,male,,,,,,
Q114612818,Paulo Augusto Costa Rocha,,,,,,,
Q16269557,Cristina Fontes Lima,female,1958,9,,,,Cristina Fontes Lima
Q23899522,Ulisses Correia e Silva,male,1962-06-04,11,,,Sr. Ulisses Corrêa e Silva (cropped).png,Ulisses Correia e Silva
Q29158211,Luís António Gomes Alves,male,,,,,,
Q29158764,Emanuel Jesus Correia Lopes,male,,,,,,
Q3183797,Jorge Borges,male,1952-04-17,11,,,,Jorge Borges (politician)
Q3268211,Luís de Matos Monteiro da Fonseca,male,1944-05-17,11,,,,Luís de Matos Monteiro da Fonseca
Q336265,Antonio Mascarenhas Monteiro,male,1944-02-16,11,2016-09-16,11,António Mascarenhas Monteiro VOA.jpg,António Mascarenhas Monteiro
Q45965970,Eunice Silva,female,1956-08,10,,,,Eunice Silva
Q500378,Carlos Veiga,male,1949-10-21,11,,,Carlos Veiga VOA.jpg,Carlos Veiga
Q500385,Gualberto do Rosário,male,1950-10-12,11,,,,Gualberto do Rosário
Q57517,Jorge Carlos Fonseca,male,1950-10-20,11,,,2019-05-06 Empfang Jorge Carlos Fonseca-1190.jpg,Jorge Carlos Fonseca
Q57649,José Maria Neves,male,1960-03-28,11,,,José Maria Neves.jpg,José Maria Neves
Q58252,José Brito,male,1944-03-19,11,,,José Brito.jpg,José Brito
Q7378692,Rui Alberto de Figueiredo Soares,male,1956,9,,,,Rui Alberto de Figueiredo Soares
Q88247927,Olavo Correia,male,,,,,,Olavo Correia
