catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Spain,Member of the Congress of Deputies,Salvador Pániker,Q9073052,1977,2017-04-01,male,1927-03-01,2017-04-01,,
Spain,Member of the Congress of Deputies,Salvador Clotas,Q11946755,1980-04-09,2004-01-20,male,1938-06-04,,,
Spain,Member of the Congress of Deputies,Jordi Marsal i Muntalà,Q11928320,1982-11-10,2008-01-15,male,1951-05-08,,,
Spain,Member of the Congress of Deputies,Luis Alberto Aguiriano Forniés,Q3753615,1986-07-15,2000-01-18,male,1940-04-01,2019-06-23,,Luis Alberto Aguiriano
Spain,Member of the Congress of Deputies,Manuel Milián Mestre,Q11690659,1989-11-13,2000-01-18,male,1943,,,
Spain,Member of the Congress of Deputies,José Pascual Monzo,Q6293673,1989-11-14,2000-01-18,male,1952,,,José Pascual Monzo
Spain,Member of the Congress of Deputies,Ángeles Maestro,Q3393061,1989-11-21,2000-01-18,female,1952-02-06,,Nines Maestro.JPG,
Spain,Member of the Congress of Deputies,Albert Moragues Gomila,Q2831417,1993-06-16,2004-01-20,male,1953-06-26,,Albert Moragues Gomila.jpg,
Spain,Member of the Congress of Deputies,Guillermo Gortázar Echevarría,Q19291099,1993-06-21,2001-10-22,male,1951-07-20,,Guillermo Gortázar 2013 (cropped).jpg,
Spain,Member of the Congress of Deputies,Reyes Montseny Masip,Q19301736,1993-06-21,2004-01-30,female,1948,2014-06-11,,
Spain,Member of the Congress of Deputies,María del Carmen Pardo Raga,Q20005674,1993-06-21,2000-01-18,female,1943,,,
Spain,Member of the Congress of Deputies,Gerardo Camps,Q4892699,1993-06-21,2000-05-19,male,1963-06-30,,Gerardo Camps PP.jpg,Gerardo Camps
Spain,Member of the Congress of Deputies,Guillermo Martínez Casañ,Q5616203,1993-06-21,2004-02-02,male,1955-12-04,,Guillermo Martínez Casañ.jpg,Guillermo Martínez Casañ
Spain,Member of the Congress of Deputies,Presentación Urán González,Q7240954,1993-06-21,2004-02-02,female,1956-05-29,,,Presentación Urán González
Spain,Member of the Congress of Deputies,Sergio Gómez-Alba,Q9076188,1993-06-21,2004-01-20,male,1943-07-25,,,
Spain,Member of the Congress of Deputies,Lluís Miquel Pérez Segura,Q11933645,1993-06-23,2000-01-18,male,1956-04-29,,LMPerezS.jpg,
Spain,Member of the Congress of Deputies,Alberto Pérez Ferré,Q11904826,1993-06-25,2000-01-18,male,1948-05-23,,,
Spain,Member of the Congress of Deputies,Francisco Vicente Murcia Barceló,Q11923005,1993-11-15,2011-09-27,male,1949,,,
Spain,Member of the Congress of Deputies,Francesc Ricomá de Castellarnau,Q5479049,1994-08-26,2011-09-27,male,1960-01-27,,1 francesc ricoma.jpg,Francesc Ricomá de Castellarnau
Spain,Member of the Congress of Deputies,José María Chiquillo Barber,Q3068216,1994-10-05,2000-01-18,male,1964-11-24,,José María Chiquillo - October 2016 (cropped).jpg,José María Chiquillo Barber
Spain,Member of the Congress of Deputies,Enriqueta Seller Roca de Togores,Q17389524,1996-01-30,2008-01-15,female,1962-03-02,,,
Spain,Member of the Congress of Deputies,Gervasio Martínez-Villaseñor García,Q43841192,1996-03-08,2000-01-18,male,1938-05-04,2022-06-28,,
Spain,Member of the Congress of Deputies,José Vicente Beviá Pastor,Q11038439,1996-03-11,2000-04-05,male,1933-10-06,2017-07-28,,José Vicente Beviá Pastor
Spain,Member of the Congress of Deputies,Luis Alberto Aguiriano Forniés,Q3753615,1996-03-11,2000-01-18,male,1940-04-01,2019-06-23,,Luis Alberto Aguiriano
Spain,Member of the Congress of Deputies,María Jesús Aramburu del Río,Q16169065,1996-03-12,2000-01-18,female,1951-10-28,,,
Spain,Member of the Congress of Deputies,Francisco Antonio González,Q20085334,1996-03-12,2000-01-18,male,1960-08-31,2015-06-02,,
Spain,Member of the Congress of Deputies,Gabino Puche Rodríguez Acosta,Q20994839,1996-03-12,2000-04-05,male,1949-04-01,,,
Spain,Member of the Congress of Deputies,Francisco Zambrano Vázquez,Q27561629,1996-03-12,2000-01-18,male,1947,,,
