catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Turkey,President,Süleyman Demirel,Q151729,1993-05-16,2000-05-16,male,1924-11-01,2015-06-17,Suleyman Demirel 1998.jpg,Süleyman Demirel
Turkey,President,Ahmet Necdet Sezer,Q165487,2000-05-16,2007-08-28,male,1941-09-13,,Ahmet Necdet Sezer.jpg,Ahmet Necdet Sezer
Turkey,President,Abdullah Gül,Q42852,2007-08-28,2014-08-28,male,1950-10-29,,Abdullah Gül (cropped version).jpg,Abdullah Gül
Turkey,President,Recep Tayyip Erdoğan,Q39259,2014-08-28,,male,1954-02-26,,Recep Tayyip Erdoğan 2021.jpg,Recep Tayyip Erdoğan
Turkey,Vice President,Fuat Oktay,Q55437281,2018-07-10,,male,1964,,Fuat Oktay (cropped).jpg,Fuat Oktay
Turkey,Prime Minister,Bülent Ecevit,Q192634,1999-05-28,2002-11-18,male,1925-05-28,2006-11-05,Bülent Ecevit-Davos 2000 cropped.jpg,Bülent Ecevit
Turkey,Prime Minister,Abdullah Gül,Q42852,2002-11-18,2003-03-14,male,1950-10-29,,Abdullah Gül (cropped version).jpg,Abdullah Gül
Turkey,Prime Minister,Recep Tayyip Erdoğan,Q39259,2003-03-14,2007-08-29,male,1954-02-26,,Recep Tayyip Erdoğan 2021.jpg,Recep Tayyip Erdoğan
Turkey,Prime Minister,Recep Tayyip Erdoğan,Q39259,2007-08-29,2011-07-06,male,1954-02-26,,Recep Tayyip Erdoğan 2021.jpg,Recep Tayyip Erdoğan
Turkey,Prime Minister,Recep Tayyip Erdoğan,Q39259,2011-07-06,2014-08-29,male,1954-02-26,,Recep Tayyip Erdoğan 2021.jpg,Recep Tayyip Erdoğan
Turkey,Prime Minister,Ahmet Davutoğlu,Q58198,2014-08-29,2015-08-28,male,1959-02-26,,Secretary Kerry Meets With Turkish Foreign Minister Davutoglu (2) (cropped).jpg,Ahmet Davutoğlu
Turkey,Prime Minister,Ahmet Davutoğlu,Q58198,2015-08-28,2015-11-24,male,1959-02-26,,Secretary Kerry Meets With Turkish Foreign Minister Davutoglu (2) (cropped).jpg,Ahmet Davutoğlu
