catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Costa Rica,President,Miguel Ángel Rodríguez Echeverría,Q562577,1998-05-08,2002-05-08,male,1940-01-09,,Мігель Анхель Родрігес Ечеверрія.jpg,Miguel Ángel Rodríguez
Costa Rica,President,Abel Pacheco,Q217794,2002-05-08,2006-05-08,male,1933-12-22,,Defense.gov News Photo 050511-D-9880W-053 Abel Pacheco cropped.jpg,Abel Pacheco
Costa Rica,President,Óscar Arias Sánchez,Q49344,2006-05-08,2010-05-08,male,1941-09-13,,Óscar Arias (cropped).jpg,Óscar Arias
Costa Rica,President,Laura Chinchilla,Q57321,2010-05-08,2014-05-08,female,1959-03-28,,Chinchilla Adelante.jpg,Laura Chinchilla
Costa Rica,President,Luis Guillermo Solís,Q5983599,2014-05-08,2018-05-08,male,1958-04-25,,Presidente LuisGuillermoSolis LGS Despacho Retratos RCS 20141117 8021-1170x1638 (1).jpg,Luis Guillermo Solís
Costa Rica,President,Carlos Alvarado Quesada,Q26996246,2018-05-08,2022-05-08,male,1980-01-14,,Carlos Alvarado Quesada Presidente de Costa Rica.jpg,Carlos Alvarado Quesada
Costa Rica,President,Rodrigo Alberto de Jesús Chaves Robles,Q98017689,2022-05-08,,male,1961-06-10,,"Rodrigo Chaves, discurso posesión (cropped).jpg",Rodrigo Chaves Robles
Costa Rica,Vice President,Elizabeth Odio Benito,Q456141,1998,2002,female,1939-09-15,,"Jueza de la Corte IDH, Elizabeth Odio Benito (40516352832).jpg",Elizabeth Odio Benito
Costa Rica,Vice President,Astrid Fischel Volio,Q5709957,1998,2002,female,1954-03-26,,Astrid Fischel Volio.png,Astrid Fischel Volio
Costa Rica,Vice President,Lineth Saborío Chaverri,Q5976724,2002,2006,female,1962,,,Lineth Saborío Chaverri
Costa Rica,Vice President,Luis Fishman Zonzinski,Q6700592,2002,2006,male,1947-12-30,,Luis Fishman Zonzinski.jpg,Luis Fishman Zonzinski
Costa Rica,Vice President,Laura Chinchilla,Q57321,2006,2010,female,1959-03-28,,Chinchilla Adelante.jpg,Laura Chinchilla
Costa Rica,Vice President,Kevin Casas Zamora,Q6395995,2006,2010,male,1968-08-04,,Kevin Casas.JPG,Kevin Casas Zamora
Costa Rica,Vice President,Luis Liberman,Q2072531,2010-05-08,2014-05-08,male,1946-08-01,,Luis Liberman.jpg,Luis Liberman
Costa Rica,Vice President,Alfio Piva,Q4721942,2010-05-08,2014-05-08,male,1940-01-07,,Alfio Piva Mesén.png,Alfio Piva
Costa Rica,Vice President,Helio Fallas,Q15980216,2014-05-08,2018-05-05,male,1947,,Helio Fallas Venegas.jpg,Helio Fallas Venegas
Costa Rica,Vice President,Ana Helena Chacón,Q15980311,2014-05-08,2018-05-08,female,1961-11-11,,A D 1164 25 A.JPG,Ana Helena Chacón
Costa Rica,Vice President,Marvin Rodríguez Cordero,Q51540879,2018-05-08,2022-05-08,male,1960-10-20,,Marvin Rodriguez Cordero abril 2018.jpg,Marvin Rodríguez Cordero
Costa Rica,Vice President,Epsy Campbell Barr,Q5384033,2018-05-08,2022-05-08,female,1963-07-04,,Epsy Campbell Barr 2018 (cropped).jpg,Epsy Campbell Barr
Costa Rica,Vice President,Mary Munive,Q111524163,2022-05-08,,female,1981-04-10,,Vicepresidenta Mary Munive Angermuller (cropped).jpg,Mary Munive
Costa Rica,Vice President,Stephan Brunner,Q111677386,2022-05-08,,male,1961-02-28,,Vicepresidente Stephan Brunner (cropped).jpg,Stephan Brunner
Costa Rica,Minister of Foreign Affairs,Roberto Rojas López,Q108344974,1998-05-08,2002-05-08,male,,,,
Costa Rica,Minister of Foreign Affairs,Roberto Tovar Faja,Q7351928,2002-05-08,2006-05-08,male,1944-11-12,,Roberto Tovar Faja.jpg,Roberto Tovar Faja
Costa Rica,Minister of Foreign Affairs,Bruno Stagno Ugarte,Q58158,2006-05-08,2010-05-08,male,1970-04-08,,Bruno Stagno Ugarte.jpg,Bruno Stagno Ugarte
Costa Rica,Minister of Foreign Affairs,René Castro,Q7313683,2010-05-08,2011-07-28,male,1957-08-25,,René Castro Salazar.jpg,René Castro
Costa Rica,Minister of Foreign Affairs,José Enrique Castillo Barrantes,Q113971588,2011-09-05,2014-05-08,,,,,
Costa Rica,Minister of Foreign Affairs,Manuel González Sanz,Q27916850,2014-05-08,2018-05-08,male,1968-04-02,,Manuel González Sanz (Korea CostaRica Summit 한국-코스타리카 정상회담 30238855406 beb671790a k).jpg,
Costa Rica,Minister of Foreign Affairs,Epsy Campbell Barr,Q5384033,2018-05-08,2018-12-11,female,1963-07-04,,Epsy Campbell Barr 2018 (cropped).jpg,Epsy Campbell Barr
Costa Rica,Minister of Foreign Affairs,Manuel Ventura Robles,Q23682309,2019-01-08,2020-01-31,male,1948,,MVRcr.jpg,
Costa Rica,Minister of Foreign Affairs,Rodolfo Solano Quirós,Q102077694,2020-01,,male,1964-12-10,,2021 Rodolfo Solano (51657366084) (cropped).jpg,Rodolfo Solano
Costa Rica,Minister of Housing and Human Settlement,Helio Fallas,Q15980216,2002,2006,male,1947,,Helio Fallas Venegas.jpg,Helio Fallas Venegas
Costa Rica,Minister of the Presidency,Rodrigo Arias Sánchez,Q6110636,2006-03-08,2010-05-08,male,1946-07-26,,Rodrigo Arias Sánchez.jpg,Rodrigo Arias Sánchez
