catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Tunisia,President,Zine El Abidine Ben Ali,Q204487,1987-11-07,2011-01-14,male,1936-09-03,2019-09-19,Zine El Abidine Ben Ali.jpg,Zine El Abidine Ben Ali
Tunisia,President,Mohamed Ghannouchi,Q431515,2011-01-14,2011-01-15,male,1941-08-18,,Mohamed Ghannouchi.jpg,Mohamed Ghannouchi
Tunisia,President,Fouad Mebazaa,Q152369,2011-01-15,2011-12-13,male,1933-06-16,,FouedMebazaa.jpg,Fouad Mebazaa
Tunisia,President,Moncef Marzouki,Q4715,2011-12-13,2014-12-31,male,1945-07-07,,Moncef Marzouki2.jpg,Moncef Marzouki
Tunisia,President,Beji Caid Essebsi,Q313539,2014-12-31,2019-07-25,male,1926-11-29,2019-07-25,Béji Caïd Essebsi 2015-05-20.jpg,Beji Caid Essebsi
Tunisia,President,Mohamed Ennaceur,Q3318530,2019-07-25,2019-10-23,male,1934-03-21,,Mohamed Ennaceur.jpg,Mohamed Ennaceur
Tunisia,President,Kais Saied,Q16120878,2019-10-23,,male,1958-02-22,,President Kais Saïed cropped.jpg,Kais Saied
Tunisia,Prime Minister,Mohamed Ghannouchi,Q431515,1999-11-17,2011-02-27,male,1941-08-18,,Mohamed Ghannouchi.jpg,Mohamed Ghannouchi
Tunisia,Prime Minister,Beji Caid Essebsi,Q313539,2011-02-28,2011-12-24,male,1926-11-29,2019-07-25,Béji Caïd Essebsi 2015-05-20.jpg,Beji Caid Essebsi
Tunisia,Prime Minister,Hamadi Jebali,Q57699,2011-12-24,2013-03-13,male,1949-01-12,,Hamadi Jebali - World Economic Forum Annual Meeting 2012-1.jpg,Hamadi Jebali
Tunisia,Prime Minister,Ali Laarayedh,Q281184,2013-03-13,2014-01-29,male,1955-08-15,,AliLarayedhpicture.jpg,Ali Laarayedh
Tunisia,Prime Minister,Mehdi Jomaa,Q15304780,2014-01-29,2015-02-06,male,1962-04-21,,Mehdi Jomaa 2013-06-18.jpg,Mehdi Jomaa
Tunisia,Prime Minister,Habib Essid,Q3125311,2015-02-06,2016-08-27,male,1949-06-01,,HabibEssid.jpg,Habib Essid
Tunisia,Prime Minister,Youssef Chahed,Q25391268,2016-08-27,2020-02-27,male,1975-09-18,,Youssef Chahed.jpg,Youssef Chahed
Tunisia,Prime Minister,Elyes Fakhfakh,Q3051875,2020-02-27,2020-09-02,male,1972,,Mr. Elyes Fakhfakh.jpg,Elyes Fakhfakh
Tunisia,Prime Minister,Hichem Mechichi,Q88485687,2020-09-02,2021-07-25,male,1974-01,,Hichem Mechichi.jpg,Hichem Mechichi
Tunisia,Prime Minister,Najla Bouden,Q108741355,2021-10-11,,female,1958-06-29,,الرئيس تبون يستقبل رئيسة الحكومة التونسية 0-24 screenshot (cropped).png,Najla Bouden
Tunisia,Minister of Agriculture,Sadok Rabah,Q19629356,1997-10-09,2002-09-05,male,1948-07-09,,,
Tunisia,Minister of Agriculture,Abdessalem Mansour,Q2821297,2008-08-29,2011-01-17,male,1949-11-19,,Abdessalam mansour.jpg,Abdessalem Mansour
Tunisia,Minister of Agriculture,Habib M'barek,Q3125307,2011-01-17,2011-01-27,male,1951-08-07,,,
Tunisia,Minister of Agriculture,Mokhtar Jallali,Q3319366,2011-01-27,2011-12-24,male,1947-03-06,,Mokhtar Jallali.JPG,
Tunisia,Minister of Agriculture,Mohamed Ben Salem,Q3318419,2011-12-24,2014-01-29,male,1953-02-19,,MohamedBenSalemANC2011.jpg,Mohamed Ben Salem
Tunisia,Minister of Agriculture,Lassaad Lachaal,Q16855252,2014-01-29,2015-02-06,male,1961-10-20,,,
Tunisia,Minister of Agriculture,Saâd Seddik,Q25391292,2015-02-06,2016-08-27,male,1956-09-29,,,
Tunisia,Minister of Agriculture,Samir Taieb,Q3470847,2016-08-27,2020-02-27,male,1957-05-26,,Samir Taieb.JPG,
Tunisia,Minister of Agriculture,Oussama Kheriji,Q91649459,2020-02-27,2020-09-02,male,,,,
Tunisia,Minister of Agriculture,Akissa Bahri,Q30224903,2020-09-02,2021-02-15,female,1956,,Akissa Bahri - Sustainable Development Goal 6 - Panel 2018.png,Akissa Bahri
Tunisia,Minister of Agriculture,Mohamed Fadhel Kraiem,Q91669922,2021-02-15,2021-08-02,male,1967,,"M. Mohamed Fadhel Kraiem, Ministre des technologies de la communication et de la transformation digitale, Tunisie.jpg",
Tunisia,Minister of Agriculture,Mahmoud Elyes Hamza,Q108892344,2021-10-11,,male,1958-06-13,,,
Tunisia,Minister of Commerce,Mondher Zenaidi,Q3320544,1996-06-13,2001-01-25,male,1950-10-24,,Mondher Zenaidi.JPG,Mondher Zenaidi
Tunisia,Minister of Commerce,Mondher Zenaidi,Q3320544,2002-09-05,2007-09-03,male,1950-10-24,,Mondher Zenaidi.JPG,Mondher Zenaidi
Tunisia,Minister of Commerce,Ridha Touiti,Q3431745,2007-09-03,2009-06-10,male,1950-12-29,2010-03-21,,
Tunisia,Minister of Commerce,Ridha Ben Mosbah,Q3431735,2009-06-10,2010-12-29,male,1954-04-08,,,
Tunisia,Minister of Commerce,Slime Ourak,Q3486705,2010-12-29,2011-01-17,male,1955-07-28,,,Sliman Ourak
Tunisia,Minister of Commerce,Mohamed Jegham,Q3318622,2011-01-17,2011-01-27,male,1943-08-08,,"Mohamed Jegham, Tunisia.jpg",Mohamed Jegham
Tunisia,Minister of Commerce,Mehdi Houas,Q3304500,2011-01-27,2011-12-24,male,1959-11-09,,,
Tunisia,Minister of Commerce,Mohamed Lamine Chakhari,Q3318652,2011-12-24,2012-02-16,male,1957-05-17,,Mohamed Lamine Chakhari.png,Mohamed Lamine Chakhari
