catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Tunisia,President,Kais Saied,Q16120878,2019-10-23,male,1958-02-22,,President Kais Saïed cropped.jpg,Kais Saied
Tunisia,Prime Minister,Najla Bouden,Q108741355,2021-10-11,female,1958-06-29,,الرئيس تبون يستقبل رئيسة الحكومة التونسية 0-24 screenshot (cropped).png,Najla Bouden
Tunisia,Minister of Agriculture,Mahmoud Elyes Hamza,Q108892344,2021-10-11,male,1958-06-13,,,
Tunisia,Minister of Commerce,Fadhila Rebhi,Q108892359,2021-10-11,female,,,,
Tunisia,Minister of Defence,Imed Memmich,Q108883556,2021-10-11,male,1966-09-08,,,Imed Memmich
Tunisia,Minister of Economy and Planning,Samir Saïed,Q108865358,2021-10-11,male,1957,,,
Tunisia,Minister of Education,Fethi Sellaouti,Q98828599,2020-09-02,male,1960,,,
Tunisia,Minister of Energy and Mines,Neila Gonji,Q108892363,2021-10-11,female,1959-09-18,,,
Tunisia,Minister of Finance,Sihem Boughdiri,Q108159069,2021-08-02,female,1965,,,
Tunisia,Minister of Foreign Affairs,Othman Jerandi,Q12270270,2020-09-02,male,,,Othman Jerandi.jpg,Othman Jerandi
Tunisia,Minister of Industry,Neila Gonji,Q108892363,2021-10-11,female,1959-09-18,,,
Tunisia,Minister of Interior,Taoufik Charfeddine,Q98828355,2021-10-11,male,1968-11-24,,Taoufik Charfeddine.jpg,Taoufik Charfeddine
Tunisia,Minister of Justice,Leila Jaffel,Q98828570,2021-10-11,female,1960-08-29,,,Leïla Jaffel
Tunisia,Minister of Local Affairs,Mokhtar Hammami,Q61588042,2018-11-14,male,,,,
Tunisia,Minister of Tourism,Mohamed Moez Belhassine,Q108892366,2021-10-11,male,1977-09-14,,,
Tunisia,Minister of Transport,Rabie Majidi,Q108892351,2021-10-11,male,,,,
Tunisia,Mayor of Tunis,Souad Abderrahim,Q3491422,2018-07-03,female,1964-12-16,,SouadAbderrahimANC2011.jpg,Souad Abderrahim
