catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Greece,President,Konstantinos Stephanopoulos,Q206421,1995-03-10,2005-03-12,male,1926-08-15,2016-11-20,Kostis stephanopoulos.jpg,Konstantinos Stephanopoulos
Greece,President,Karolos Papoulias,Q57303,2005-03-21,2015-03-13,male,1929-06-04,2021-12-26,Karolos Papoulias.jpg,Karolos Papoulias
Greece,President,Prokopis Pavlopoulos,Q3407316,2015-03-13,2020-03-13,male,1950-07-10,,Prokópis Pavlópoulos portrait.jpg,Prokopis Pavlopoulos
Greece,President,Katerina Sakellaropoulou,Q57415743,2020-03-13,,female,1956-05-30,,President Katerina Sakellaropoulou.jpg,Katerina Sakellaropoulou
Greece,Prime Minister,Costas Simitis,Q155390,1996-01-18,2004-03-10,male,1936-06-23,,Konstantinos Simitis.jpg,Costas Simitis
Greece,Prime Minister,Kostas Karamanlis,Q188978,2004-03-10,2009-10-06,male,1956-09-14,,Kostas Karamanlis.jpg,Kostas Karamanlis
Greece,Prime Minister,Giorgos Papandreou,Q151917,2009-10-06,2011-11-11,male,1952-06-16,,George Papandreou (junior).jpg,George Papandreou
Greece,Prime Minister,Loukas Papademos,Q164281,2011-11-11,2012-05-16,male,1947-10-11,,Lucas Papademos.jpg,Lucas Papademos
Greece,Prime Minister,Panagiotis Pikrammenos,Q318492,2012-05-16,2012-06-20,male,1945-07-26,,Panagiotis Pikrammenos 2012-05-16.jpg,Panagiotis Pikrammenos
Greece,Prime Minister,Antonis Samaras,Q57806,2012-06-20,2015-01-26,male,1951-05-23,,Antonis Samaras 2014 (cropped).jpg,Antonis Samaras
Greece,Prime Minister,Alexis Tsipras,Q312015,2015-01-26,2015-08-27,male,1974-07-28,,"Alexis Tsipras, prime minister of Greece.jpg",Alexis Tsipras
Greece,Prime Minister,Vasiliki Thanou,Q20855548,2015-08-27,2015-09-21,female,1950-11-30,,Vassiliki Thanou retouched.jpg,Vassiliki Thanou-Christophilou
Greece,Prime Minister,Alexis Tsipras,Q312015,2015-09-21,2019-07-08,male,1974-07-28,,"Alexis Tsipras, prime minister of Greece.jpg",Alexis Tsipras
Greece,Prime Minister,Kyriakos Mitsotakis,Q552751,2019-07-08,,male,1968-03-04,,Vladimir Putin and Kyriakos Mitsotakis (2021-12-08) 03 (cropped).jpg,Kyriakos Mitsotakis
Greece,Deputy Prime Minister,Theodoros Pangalos,Q462542,2009-10-07,2012-05-17,male,1938-08-17,,TheodorosPangalos.jpg,Theodoros Pangalos (politician)
Greece,Deputy Prime Minister,Evangelos Venizelos,Q312994,2013-06-25,2015-01-27,male,1957-01-01,,Venizelos Evangelos min.jpg,Evangelos Venizelos
Greece,Deputy Prime Minister,Yannis Dragasakis,Q5558236,2015-09-23,2019-07-08,male,1947-01-01,,Giannis Dragasakis I.JPG,Yannis Dragasakis
Greece,Deputy Prime Minister,Panagiotis Pikrammenos,Q318492,2019-07-09,,male,1945-07-26,,Panagiotis Pikrammenos 2012-05-16.jpg,Panagiotis Pikrammenos
Greece,Minister of Agricultural Development and Food,Evangelos Basiakos,Q5415838,2004-09-23,2007-09-19,male,1954-02-12,2017-02-17,Evangelos Basiakos (Maximos Mansion).jpg,Evangelos Basiakos
Greece,Minister of Agricultural Development and Food,Sotiris Hatzigakis,Q7563998,2009-01-08,2009-10-07,male,1944-09-15,,,Sotirios Hatzigakis
Greece,Minister of Agricultural Development and Food,Napoleon Maravegias,Q26709042,2012-05-17,2012-06-20,male,1955,,,
Greece,Minister of Agricultural Development and Food,Stávros Arachovítis,Q20995374,2018-08-29,2019-07-09,male,1972-12-14,,,
Greece,Minister of Agricultural Development and Food,Spilios Livanos,Q85554532,2021-01-05,,male,1967-09-20,,,Spilios Livanos
Greece,Minister of Administrative Reform and Electronic Governance,Dimitris Reppas,Q1226051,2011-06-27,2012-05-17,male,1952-07-06,,Reppas Dimitris.jpg,Dimitris Reppas
Greece,Minister of Administrative Reform and Electronic Governance,Antonis Manitakis,Q13260393,2012-06-21,2013-06-25,male,1944-05-23,,Antonis Manitakis.png,Antonis Manitakis
Greece,Minister of Administrative Reform and Electronic Governance,Kyriakos Mitsotakis,Q552751,2013-06-24,2015-01-27,male,1968-03-04,,Vladimir Putin and Kyriakos Mitsotakis (2021-12-08) 03 (cropped).jpg,Kyriakos Mitsotakis
Greece,Minister of Climate Crisis and Civil Protection,Christos Stylianides,Q17266735,2021-09-10,,male,1958-06-26,,(Christos Stylianides) Debate MEPs call for measures against Turkey following military operation in Syria (48948126711) (cropped).jpg,Christos Stylianides
Greece,Minister of Culture,Elisavet Papazoi,Q19961808,1999-02-19,2000-04-13,female,1944,,,
Greece,Minister of Culture,Theodoros Pangalos,Q462542,2000-04-13,2000-11-20,male,1938-08-17,,TheodorosPangalos.jpg,Theodoros Pangalos (politician)
Greece,Minister of Culture,Evangelos Venizelos,Q312994,2000-11-21,2004-03-10,male,1957-01-01,,Venizelos Evangelos min.jpg,Evangelos Venizelos
Greece,Minister of Culture,Kostas Karamanlis,Q188978,2004-03-10,2006-02-15,male,1956-09-14,,Kostas Karamanlis.jpg,Kostas Karamanlis
Greece,Minister of Culture,Georgios Voulgarakis,Q382096,2006-02-15,2007-09-19,male,1959-06-04,,,Georgios Voulgarakis
Greece,Minister of Culture,Michalis Liapis,Q12881067,2007-09-19,2009-01-07,male,1951-05-08,,,Michalis Liapis
Greece,Minister of Culture,Antonis Samaras,Q57806,2009-01-08,2009-10-06,male,1951-05-23,,Antonis Samaras 2014 (cropped).jpg,Antonis Samaras
Greece,Minister of Culture,Panos Panagiotopoulos,Q2048881,2013-06-25,2014-06-10,male,1957-12-11,,Παναγιωτόπουλος.jpg,Panos Panagiotopoulos
Greece,Minister of Culture,Konstantinos Tassoulas,Q20995518,2014-06-10,2015-01-27,male,1959-07-17,,KonstantinosTasoulas.jpg,Konstantinos Tasoulas
Greece,Minister of Culture,Aristidis Baltas,Q18912905,2015-09-23,2016-11-05,male,1943-02-09,,Aristides Baltas 2013 cropped.jpg,Aristides Baltas
Greece,Minister of Culture,Lydia Koniordou,Q12880309,2016-11-05,2018-08-29,female,1953-10-16,,2017-06-07 Documenta 14 Lydia Koniordou by Olaf Kosinsky-12.jpg,
Greece,Minister of Culture,Myrsini Zorba,Q11787642,2018-08-29,2019-07-09,female,1949,,,
Greece,Minister of Development,Evangelos Venizelos,Q312994,1999-02-19,2000-04-13,male,1957-01-01,,Venizelos Evangelos min.jpg,Evangelos Venizelos
Greece,Minister of Development,Dimitris Sioufas,Q451135,2004-03-10,2007-09-19,male,1944-08-15,2019-01-11,Sioufas (cropped).jpg,Dimitris Sioufas
Greece,Minister of Development,Adonis Georgiades,Q4684534,2019-07-09,,male,1972-11-06,,AdonisGeorgiadis.png,Adonis Georgiadis
Greece,Minister of Digital Governance,Kyriakos Pierrakakis,Q65273184,2019-07-09,,male,1983-08-08,,,Kyriakos Pierrakakis
Greece,Minister of Economy and Finance,Nikos Christodoulakis,Q7036594,2001-10-24,2004-03-10,male,1952,,,Nikos Christodoulakis
Greece,Minister of Economy and Finance,Georgios Alogoskoufis,Q556905,2004-03-10,2007-01-08,male,1955-10-17,,GAlogoskoufis Nov06 (original size).JPG,Georgios Alogoskoufis
Greece,Minister of Economy and Finance,Christos Staïkouras,Q12886185,2019-07-09,,male,1973-08-12,,Xristos Staikouras.jpg,Christos Staikouras
Greece,"Minister of Education, Culture and Sport",Konstantinos Arvanitopoulos,Q999421,2012-06-21,2013-06-24,male,1960,,Konstantinos Arvanitopoulos.png,
Greece,"Minister of Education, Culture and Sport",Lina Mendoni,Q65273202,2019-07-09,,female,1960-04-01,,50140105296 51a2a1186d o cropped.jpg,Lina Mendoni
Greece,"Minister of Environment, Energy and Climate Change",Tina Birbili,Q467813,2009-10-07,2011-06-17,female,1969-03-04,,Birbili Tina.jpg,Tina Birbili
Greece,"Minister of Environment, Energy and Climate Change",Giorgos Papakonstantinou,Q929413,2011-06-17,2012-05-17,male,1961-10-30,,Giorgos Papakonstantinou portrait crop.jpg,Giorgos Papakonstantinou
Greece,"Minister of Environment, Energy and Climate Change",Ioannis Maniatis,Q15919839,2013-06-25,2015-01-27,male,1956-10-11,,Μανιάτης ΝΕΡΙΤ.jpg,
Greece,"Minister of Environment, Energy and Climate Change",Panagiotis Lafazanis,Q18572717,2015-01-27,2015-07-17,male,1951-11-19,,Panagiotis Lafazanis.jpg,Panagiotis Lafazanis
Greece,"Minister of Environment, Energy and Climate Change",Konstantínos Skrékas,Q20995506,2021-01-05,,male,1973-03-14,,Kwstas Skrekas.jpg,Kostas Skrekas
Greece,Minister for Foreign Affairs,Giorgos Papandreou,Q151917,1999-02-19,2004-02-13,male,1952-06-16,,George Papandreou (junior).jpg,George Papandreou
Greece,Minister for Foreign Affairs,Tasos Giannitsis,Q526202,2004-02-13,2004-03-10,male,1944,,,Tasos Giannitsis
Greece,Minister for Foreign Affairs,Petros Molyviatis,Q1252175,2004-03-10,2006-02-15,male,1928-06-12,,Molyviatis.JPG,Petros Molyviatis
Greece,Minister for Foreign Affairs,Ntora Bakoyannis,Q464862,2006-02-15,2009-10-07,female,1954-05-06,,Dora Bakoyannis2.jpg,Dora Bakoyannis
Greece,Minister for Foreign Affairs,Giorgos Papandreou,Q151917,2009-10-06,2010-09-07,male,1952-06-16,,George Papandreou (junior).jpg,George Papandreou
Greece,Minister for Foreign Affairs,Giorgos Papandreou,Q151917,2009-10-07,2010-09-07,male,1952-06-16,,George Papandreou (junior).jpg,George Papandreou
Greece,Minister for Foreign Affairs,Dimitris Droutsas,Q58086,2010-09-07,2011-06-17,male,1968-08-05,,Dimitris droutsas.jpg,Dimitrios Droutsas
Greece,Minister for Foreign Affairs,Stavros Lambrinidis,Q718976,2011-06-17,2011-11-11,male,1962-02-06,,Stavros Lambrinidis (cropped).jpg,Stavros Lambrinidis
Greece,Minister for Foreign Affairs,Stavros Dimas,Q58091,2011-11-11,2012-05-17,male,1941-04-30,,Stavros Dimas.jpg,Stavros Dimas
Greece,Minister for Foreign Affairs,Petros Molyviatis,Q1252175,2012-05-17,2012-06-21,male,1928-06-12,,Molyviatis.JPG,Petros Molyviatis
Greece,Minister for Foreign Affairs,Dimitris Avramopoulos,Q983664,2012-06-21,2013-06-24,male,1953-06-06,,Ομιλία ΥΠΕΞ Δ. Αβραμόπουλου στην 67η Γενική Συνέλευση των Ηνωμένων Εθνών (8032217856).jpg,Dimitris Avramopoulos
Greece,Minister for Foreign Affairs,Evangelos Venizelos,Q312994,2013-06-24,2015-01-27,male,1957-01-01,,Venizelos Evangelos min.jpg,Evangelos Venizelos
Greece,Minister for Foreign Affairs,Nikos Kotzias,Q12881818,2015-01-27,2015-08-28,male,1950-11-19,,Kotzias portrait.jpg,Nikos Kotzias
Greece,Minister for Foreign Affairs,Petros Molyviatis,Q1252175,2015-08-28,2015-09-20,male,1928-06-12,,Molyviatis.JPG,Petros Molyviatis
Greece,Minister for Foreign Affairs,Nikos Kotzias,Q12881818,2015-09-23,2018-10-17,male,1950-11-19,,Kotzias portrait.jpg,Nikos Kotzias
Greece,Minister for Foreign Affairs,Nikos Dendias,Q247424,2019-07-09,,male,1959-10-07,,NikosDendias.jpg,Nikos Dendias
Greece,Minister of Health,Andreas Lykourentzos,Q12873649,2012-06-21,2013-06-25,male,1957,,,
Greece,Minister of Health,Adonis Georgiades,Q4684534,2013-06-25,2014-06-09,male,1972-11-06,,AdonisGeorgiadis.png,Adonis Georgiadis
Greece,Minister of Health,Makis Voridis,Q1886385,2014-06-10,2015-01-27,male,1964-08-23,,Makis Voridis (Greece) - July 2016 (cropped).jpg,Makis Voridis
Greece,Minister of Health,Vassilis Kikilias,Q7916956,2019-07-09,2021-08-31,male,1974-05-15,,Basilis Kikilias.jpg,Vasilis Kikilias
Greece,Minister of Health,Athanasios Plevris,Q444093,2021-08-31,,male,1977-05-21,,,Thanos Plevris
Greece,Minister of Immigration and Asylum,Notis Mitarachi,Q16062024,2020-01-15,,male,1972-10-07,,Νότης Μηταράκης 02.jpg,Notis Mitarachi
Greece,Minister of Infrastructure and Transport,Konstantínos Karamanlís,Q20995434,2019-07-09,,male,1974-12-12,,,
Greece,Minister of the Interior,Spiros Flogaitis,Q16328921,2007-08-24,2007-09-29,male,1950-07-22,,Spyridon Flogaitis.jpg,Spyridon Flogaitis
Greece,Minister of the Interior,Prokopis Pavlopoulos,Q3407316,2007-09-19,2009-09-11,male,1950-07-10,,Prokópis Pavlópoulos portrait.jpg,Prokopis Pavlopoulos
Greece,Minister of the Interior,Haris Kastanidis,Q1063232,2011-06-17,2011-11-11,male,1956-03-11,,Charis Kastanidis.jpg,Haris Kastanidis
Greece,Minister of the Interior,Antonis Manitakis,Q13260393,2012-05-17,2012-06-21,male,1944-05-23,,Antonis Manitakis.png,Antonis Manitakis
Greece,Minister of the Interior,Nikos Voutsis,Q18913643,2015-01-27,2015-08-28,male,1951-03-04,,Níkos Voútsis portrait.jpg,Nikos Voutsis
Greece,Minister of the Interior,Antonis Manitakis,Q13260393,2015-08-28,2015-09-23,male,1944-05-23,,Antonis Manitakis.png,Antonis Manitakis
Greece,Minister of the Interior,Makis Voridis,Q1886385,2021-01-05,,male,1964-08-23,,Makis Voridis (Greece) - July 2016 (cropped).jpg,Makis Voridis
Greece,Minister of Justice,Evangelos Yannopoulos,Q12877311,1996-09-25,2000-03-20,male,1918-05,2003-09-04,,Evangelos Yannopoulos
Greece,Minister of Justice,Michael-Konstantinos Stathopoulos,Q12881132,2000-04-13,2001-10-24,male,1938-07,,,
Greece,Minister of Justice,Filippos Petsalnikos,Q704242,2001-10-24,2004-03-10,male,1950-12-01,2020-03-13,Petsalnikos.jpg,Filippos Petsalnikos
Greece,Minister of Justice,Anastasios Papaligouras,Q1091143,2004-03-10,2007-09-19,male,1948-04-14,,,Anastasios Papaligouras
Greece,Minister of Justice,Sotiris Hatzigakis,Q7563998,2007-09-19,2009-01-08,male,1944-09-15,,,Sotirios Hatzigakis
Greece,Minister of Justice,Nikos Dendias,Q247424,2009-01-08,2009-10-06,male,1959-10-07,,NikosDendias.jpg,Nikos Dendias
Greece,Minister of Justice,Kostas Tsiaras,Q18199704,2019-07-09,,male,1966-07-02,,Συνάντηση ΥΦΥΠΕΞ Κ. Τσιάρα με Πρέσβη Γερμανίας (8185049494) (cropped) - Konstantinos Tsiaras.jpg,Konstantinos Tsiaras
Greece,Minister for Labour and Social Affairs,Yannis Vroutsis,Q12875212,2013-06-21,2015-01-27,male,1963-06-01,,Broutsis-NERIT.jpg,Giannis Vroutsis
Greece,Minister for Labour and Social Affairs,Yannis Vroutsis,Q12875212,2019-07-09,2021-01-05,male,1963-06-01,,Broutsis-NERIT.jpg,Giannis Vroutsis
Greece,Minister for Labour and Social Affairs,Kostis Chatzidakis,Q1348054,2021-01-05,,male,1965-04-20,,Kostis Hatzidakis.png,Kostis Hatzidakis
Greece,Minister of Marine and the Aegean,Ioannis Plakiotakis,Q16329184,2019-07-09,,male,1968-07-10,,Plakiotakis.png,Ioannis Plakiotakis
Greece,Minister for National Defence,Vangelis Meimarakis,Q1895909,2008-02-15,2009-10-07,male,1953-12-14,,Vangelis Meimarakis 2009 (cropped).jpg,Vangelis Meimarakis
Greece,Minister for National Defence,Evangelos Venizelos,Q312994,2009-10-07,2011-06-17,male,1957-01-01,,Venizelos Evangelos min.jpg,Evangelos Venizelos
Greece,Minister for National Defence,Frangos Frangoulis,Q12885870,2012-05-17,2012-06-21,male,1951,,,Frangoulis Frangos
Greece,Minister for National Defence,Panos Panagiotopoulos,Q2048881,2012-06-21,2013-06-25,male,1957-12-11,,Παναγιωτόπουλος.jpg,Panos Panagiotopoulos
Greece,Minister for National Defence,Dimitris Avramopoulos,Q983664,2013-06-25,2014-10-31,male,1953-06-06,,Ομιλία ΥΠΕΞ Δ. Αβραμόπουλου στην 67η Γενική Συνέλευση των Ηνωμένων Εθνών (8032217856).jpg,Dimitris Avramopoulos
Greece,Minister for National Defence,Nikos Dendias,Q247424,2014-11-03,2015-01-27,male,1959-10-07,,NikosDendias.jpg,Nikos Dendias
Greece,Minister for National Defence,Panos Kammenos,Q1467594,2015-01-27,2015-08-28,male,1965-05-12,,Discours de Panos Kammenos (cropped).jpg,Panos Kammenos
Greece,Minister for National Defence,Panos Kammenos,Q1467594,2015-09-23,2019-01-15,male,1965-05-12,,Discours de Panos Kammenos (cropped).jpg,Panos Kammenos
Greece,Minister for National Defence,Nikolaos Panagiotopoulos,Q12881862,2019-07-09,,male,1965-08-18,,Nikolaos Panagiotopoulos.jpg,Nikolaos Panagiotopoulos
Greece,Minister of National Education and Religious Affairs,Gerasimos Arsenis,Q701060,1996-09-25,2000-04-13,male,1931-05-30,2016-04-19,Gerasimos Arsenis.JPG,Gerasimos Arsenis
Greece,Minister of National Education and Religious Affairs,Petros Efthymiou,Q7179073,2000,2004,male,1950-03-27,,Petros Efthymiou Senate of Poland.jpg,Petros Efthymiou
Greece,Minister of National Education and Religious Affairs,Marietta Giannakou,Q3293913,2004-03-10,2007-09-19,female,1951-06-05,,,Marietta Giannakou
Greece,Minister of National Education and Religious Affairs,Evripidis Stylianidis,Q694779,2007-09-19,2009-01-07,male,1966-04-08,,Declaration Ceremony of the Archbishop Ieronymos II of Athens Evripidis Stylianidis portratait.jpg,Evripidis Stylianidis
Greece,Minister of National Education and Religious Affairs,Aris Spiliotopoulos,Q1069794,2009-01-08,2009-10-07,male,1966-10-28,,Aris Spiliotopoulos.JPG,Aris Spiliotopoulos
Greece,Minister of National Education and Religious Affairs,Níki Keraméos,Q20995447,2019-07-09,,female,1980-07-18,,Νίκη Κεραμέως 4606.jpg,Niki Kerameus
Greece,Minister of Tourism,Dimitris Avramopoulos,Q983664,2004-03-18,2006-02-15,male,1953-06-06,,Ομιλία ΥΠΕΞ Δ. Αβραμόπουλου στην 67η Γενική Συνέλευση των Ηνωμένων Εθνών (8032217856).jpg,Dimitris Avramopoulos
Greece,Minister of Tourism,Olga Kefalogianni,Q536323,2012-06-21,2015-01-27,female,1975-04-29,,Olga Kefalogiani.JPG,Olga Kefalogianni
Greece,Minister of Tourism,Alkistis Protopsalti,Q2985510,2015-08-28,2015-09-20,female,1954-10-18,,Alkistis Protopsalti 3.jpg,Alkistis Protopsalti
Greece,Minister of Tourism,Theoharis Theoharis,Q19056662,2019-07-09,2021-08-31,male,1970-08-06,,Harry Theocharis (cropped).jpg,Harry Theoharis
Greece,Minister of Tourism,Vassilis Kikilias,Q7916956,2021-08-31,,male,1974-05-15,,Basilis Kikilias.jpg,Vasilis Kikilias
Greece,Minister for the Protection of the Citizen,Michalis Chrisochoidis,Q185945,2009-10-07,2010-09-07,male,1955-10-31,,Rhodes Forum 2014 (15261610954).jpg,Michalis Chrisochoidis
Greece,Minister for the Protection of the Citizen,Christos Papoutsis,Q1087152,2010-09-07,2012-03-07,male,1953-04-11,,Christos Papoutsis.jpg,Christos Papoutsis
Greece,Minister for the Protection of the Citizen,Michalis Chrisochoidis,Q185945,2012-03-07,2012-05-17,male,1955-10-31,,Rhodes Forum 2014 (15261610954).jpg,Michalis Chrisochoidis
Greece,Minister for the Protection of the Citizen,Michalis Chrisochoidis,Q185945,2019-07-09,2021-08-31,male,1955-10-31,,Rhodes Forum 2014 (15261610954).jpg,Michalis Chrisochoidis
