catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Russia,member of the State Duma,Gennadiy Seleznyov,Q1756312,1993-12-12,2007-12-02,male,1947-11-06,2015-07-19,Gennady Seleznyov (2000-01-18).jpg,Gennadiy Seleznyov
Russia,member of the State Duma,Gennady Zyuganov,Q182452,1993-12-12,,male,1944-06-26,,Gennady Zyuganov Moscow asv2018-01 (cropped).jpg,Gennady Zyuganov
Russia,member of the State Duma,Sergei Kovalev,Q545569,1993-12-12,2003-12-07,male,1930-03-02,2021-08-09,Sergey Kovalyov 2015 (cropped).jpg,Sergei Kovalev
Russia,member of the State Duma,Stanislav Govorukhin,Q1377159,1994-01-11,2018-06-14,male,1936-03-29,2018-06-14,Станислав Говорухин (cropped).jpg,Stanislav Govorukhin
Russia,member of the State Duma,Zhores Alferov,Q183279,1995,2019,male,1930-03-15,2019-03-01,Zhores Alfyorov (2011-12-14).jpg,Zhores Alferov
Russia,member of the State Duma,Nikolai Gubenko,Q1983805,1995,2003,male,1941-08-17,2020-08-16,Nikolai Gubenko (cropped).jpg,Nikolai Gubenko
Russia,member of the State Duma,Mikhail Tarantsov,Q101482132,1995-12-17,2000-01,male,1962-07-13,,Mikhail Tarantsov 2019-01-23.jpg,
Russia,member of the State Duma,Vyacheslav Boyko,Q4090384,1995-12-17,2003-12-29,male,1938-10-18,2018-02-10,,
Russia,member of the State Duma,Mikhail Glushchenko,Q4140445,1995-12-17,2000-01-18,male,1957-05-07,,Mikhail Glushchenko.jpg,
Russia,member of the State Duma,Gennadiy Ivanovitsj Raykov,Q4388959,1995-12-17,2007-03-09,male,1939-08-08,,Геннадий Райков.jpg,
Russia,member of the State Duma,Svetlana Savitskaya,Q152318,1996,,female,1948-08-08,,"Svetlana Savitskaya, 7 December 2018.jpg",Svetlana Savitskaya
Russia,member of the State Duma,Alexander Karelin,Q187247,1999,2007,male,1967-09-19,,Aleksandr Karelin 2018.jpg,Aleksandr Karelin
Russia,member of the State Duma,Nadezhda Azarova,Q4058155,1999,2007,female,1956-12-02,,,
Russia,member of the State Duma,Vladimir Pekhtin,Q4361931,1999,2013-02-20,male,1950-12-09,,Vladimir Pekhtin.jpg,Vladimir Pekhtin
Russia,member of the State Duma,Viktor Kulikov,Q48051,1999,2003,male,1921-07-05,2013-05-27,Куликов Виктор Георгиевич.jpg,Viktor Kulikov
Russia,member of the State Duma,Sergey Mitrokhin,Q544851,1999,2003,male,1963-05-20,,Sergey Mitrokhin (Moscow International Book Fair 2013).jpg,Sergey Mitrokhin
Russia,member of the State Duma,Vasily Galushkin,Q101386802,1999-12-19,2003-12-29,male,1954-02-11,,Vasily Ivanovich Galushkin in Duma 1999.jpg,
Russia,member of the State Duma,Aleksandra Buratayeva,Q4099366,1999-12-19,2007-12-24,female,1965-03-30,,Alexandra Buratayeva.jpg,
Russia,member of the State Duma,Suleyman Kerimov,Q447250,1999-12-19,2007-12-24,male,1966-03-12,,"Suleyman Kerimov, 2016.jpg",Suleyman Kerimov
Russia,member of the State Duma,Roman Abramovich,Q171428,2000-01-10,2000-12-17,male,1966-10-24,,Abramovich Chukotka (cropped).jpg,Roman Abramovich
Russia,member of the State Duma,Nikolai Ovchinnikov,Q14848577,2000-03,2003-02-13,male,1949-04-28,,Nikolai Ovchinnikov.jpg,
Russia,member of the State Duma,Natalya Komarova,Q216535,2001-12-17,2010-03-01,female,1955-10-21,,Natalya Komarova 2018.jpg,Natalya Komarova
Russia,member of the State Duma,Sergey Surovov,Q4446588,2003,2006,male,1956-10-31,,,
Russia,member of the State Duma,Alexander Rosenbaum,Q663116,2003,2005,male,1951-09-13,,Rosenbaum kursk.jpg,Alexander Rosenbaum
Russia,member of the State Duma,Arsen Fadzayev,Q704427,2003,2011,male,1962-09-05,,Arsen Fadzayev.jpg,Arsen Fadzaev
Russia,member of the State Duma,Nikolai Ryzhkov,Q366524,2003-09-17,2003-09-17,male,1929-09-28,,2019 Nikolay Ryzhkov.jpg,Nikolai Ryzhkov
Russia,member of the State Duma,Vasily Galushkin,Q101386802,2003-12-07,2007,male,1954-02-11,,Vasily Ivanovich Galushkin in Duma 1999.jpg,
Russia,member of the State Duma,Zoya Stepanova,Q4441872,2003-12-07,2007-12-24,female,1953-07-06,,Zoya Stepanova.jpg,
Russia,member of the State Duma,Vadim Varshavsky,Q4104081,2005,2011,male,1961-04-30,,Варшавский В.Е.jpg,
Russia,member of the State Duma,,Q101097637,2007,2011,male,1949-01-01,,,
Russia,member of the State Duma,Alina Kabayeva,Q254220,2007,2014-09-15,female,1983-05-12,,KabaevaOrdercropped.jpg,Alina Kabaeva
Russia,member of the State Duma,Andrey Nazarov,Q4312139,2007,2011,male,1970-04-28,,Снимок199173.jpg,
Russia,member of the State Duma,Kira Lukyanova,Q46461187,2007,2011,female,1962-11-23,,,
Russia,member of the State Duma,Sergey Smetanyuk,Q4424463,2007-12-02,2010-01,male,1962-06-08,,,Sergey Smetanyuk
Russia,member of the State Duma,Alexander Karelin,Q187247,2007-12-24,2021-09-01,male,1967-09-19,,Aleksandr Karelin 2018.jpg,Aleksandr Karelin
Russia,member of the State Duma,Svetlana Ishmouratova,Q256804,2007-12-24,2011-12-21,female,1972-04-20,,Svetlana Ishmouratova 2006.jpg,Svetlana Ishmouratova
Russia,member of the State Duma,Sergei Ivanovich Furgal,Q26776800,2007-12-24,2018-09-26,male,1970-02-12,,Sergey Furgal (cropped).jpg,Sergei Furgal
Russia,member of the State Duma,Sergey Petrov,Q4360860,2007-12-24,2011-12-21,male,1954-08-16,,Sergey Petrov rolf.jpg,Sergey Anatolyevich Petrov
Russia,member of the State Duma,Ilya Ponomarev,Q4371978,2007-12-24,2016-10-05,male,1975-08-06,,"Ilya Ponomarev, 2012 Horasis Global Russia Business Meeting crop.jpg",Ilya Ponomarev
Russia,member of the State Duma,Zoya Stepanova,Q4441872,2007-12-24,2011-12-21,female,1953-07-06,,Zoya Stepanova.jpg,
Russia,member of the State Duma,Valery Chereshnev,Q4512985,2007-12-24,2016-10-05,male,1944-10-24,,"Черешнев, Валерий Александрович.jpg",
Russia,member of the State Duma,Makharbek Khadartsev,Q1393551,2011,2016,male,1964-10-02,,Makharbek Khadartsev.jpg,Makharbek Khadartsev
Russia,member of the State Duma,Valentina Tereshkova,Q44371,2011,,female,1937-03-06,,Valentina Tereshkova (2017-03-06).jpg,Valentina Tereshkova
Russia,member of the State Duma,Mariya Kozhevnikova,Q3148435,2011-12-04,2016-10-05,female,1984-11-14,,Мария кожевникова.jpg,Maria Kozhevnikova
Russia,member of the State Duma,Alexei Pushkov,Q4384817,2011-12-04,2016-09-18,male,1954-08-10,,Alexey Pushkov.jpg,Aleksey Pushkov
Russia,member of the State Duma,Denis Voronenkov,Q19817635,2011-12-21,2016-10-05,male,1971-04-10,2017-03-23,Denis Voronenkov (1).jpg,Denis Voronenkov
Russia,member of the State Duma,Umakhan Umakhanov,Q30345177,2011-12-21,2016-10-05,male,1965-05-25,,У.М. Умаханов.jpg,
Russia,member of the State Duma,Zurab Makiev,Q42296283,2011-12-21,2016-10-05,male,1976-09-30,,Zurab Makiev.jpg,
Russia,member of the State Duma,Andrey Svintzov,Q43427636,2011-12-21,2016-10-05,male,1978-11-12,,Andrey Svintzov.jpg,
Russia,member of the State Duma,Sergey Petrov,Q4360860,2011-12-21,2016-10-05,male,1954-08-16,,Sergey Petrov rolf.jpg,Sergey Anatolyevich Petrov
Russia,member of the State Duma,Zoya Stepanova,Q4441872,2011-12-21,2016-10-05,female,1953-07-06,,Zoya Stepanova.jpg,
Russia,member of the State Duma,Viktor Goncharov,Q56755181,2011-12-21,2016-10-05,male,1959-06-14,,Viktor Goncharov.jpg,
Russia,member of the State Duma,Sergey Naryshkin,Q983654,2011-12-21,2016-10-05,male,1954-10-27,,Naryshkin Sergey Evgenyevich.jpg,Sergey Naryshkin
Russia,member of the State Duma,Alyona Arshinova,Q4071033,2012-03-28,,female,1985-03-03,,Arshinova alena.jpg,Alena Arshinova
Russia,member of the State Duma,Alexander Avdeev,Q28495038,2016,2021,male,1975-08-12,,Alexander Avdeev.jpg,"Aleksandr Avdeyev (politician, born 1975)"
Russia,member of the State Duma,Aleksey Kanayev,Q60329384,2016,,male,1971-09-30,,Алексей Валерианович Канаев.jpg,
Russia,member of the State Duma,Viktor Karamyshev,Q16661684,2016-09-18,2019-06,male,1966-12-17,,Карамышев Виктор Николаевич.jpg,
Russia,member of the State Duma,Fedot Tumusov,Q18278938,2016-09-18,,male,1955-06-30,,Fedot Tumusov.jpg,
Russia,member of the State Duma,Nikolay Lyubimov,Q19910548,2016-09-18,2017-02-17,male,1971-11-21,,Nikolay Lyubimov 2019.jpg,Nikolay Lyubimov
Russia,member of the State Duma,Anna Kuvychko,Q43231501,2016-09-18,2021-09,female,1979-06-26,,Anna Kuvychko.jpg,
Russia,member of the State Duma,Valeriy Skrug,Q60836532,2016-09-18,2021-09,male,1963-06-20,,В.С. Скруг.jpg,
Russia,member of the State Duma,Oleg Nikolaev,Q62841889,2016-09-18,2020-01-29,male,1969-12-10,,Oleg Nikolaev 2020.png,Oleg Nikolayev (politician)
Russia,member of the State Duma,Vitaliy Bakhmetiev,Q18741219,2016-10-05,,male,1961-08-12,,Vitaliy Bakhmetiev.jpg,
Russia,member of the State Duma,Oleg Grishchenko,Q19861746,2016-10-05,2021-09,male,1966-08-10,2017-06-17,Oleg Vasilyevich Grishchenko in 2015.jpg,
Russia,member of the State Duma,Aleksandr Maksimov,Q25394818,2016-10-05,2021-09,male,1946-11-15,,Максимов А.А.jpg,
