catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Russia,President,Vladimir Putin,Q7747,2000-05-07,2008-05-07,male,1952-10-07,,Владимир Путин (24-08-2021) (cropped).jpg,Vladimir Putin
Russia,President,Dmitry Medvedev,Q23530,2008-05-07,2012-05-07,male,1965-09-14,,Dmitry Medvedev govru official photo 2.jpg,Dmitry Medvedev
Russia,President,Vladimir Putin,Q7747,2012-05-07,,male,1952-10-07,,Владимир Путин (24-08-2021) (cropped).jpg,Vladimir Putin
Russia,Prime Minister,Vladimir Putin,Q7747,1999-08-16,2000-05-07,male,1952-10-07,,Владимир Путин (24-08-2021) (cropped).jpg,Vladimir Putin
Russia,Prime Minister,Mikhail Kasyanov,Q62551,2000-05-07,2004-02-24,male,1957-12-08,,Kasyanov 2015.png,Mikhail Kasyanov
Russia,Prime Minister,Viktor Khristenko,Q317667,2004-02-24,2004-03-05,male,1957-08-28,,Victor Khristenko.jpg,Viktor Khristenko
Russia,Prime Minister,Mikhail Fradkov,Q150080,2004-03-05,2007-09-14,male,1950-09-01,,"Mikhail Fradkov (Brasília, 04 April 2006).jpeg",Mikhail Fradkov
Russia,Prime Minister,Viktor Zubkov,Q147425,2007-09-14,2008-05-07,male,1941-09-15,,Viktor Zoebkov.jpg,Viktor Zubkov
Russia,Prime Minister,Vladimir Putin,Q7747,2008-05-08,2012-05-07,male,1952-10-07,,Владимир Путин (24-08-2021) (cropped).jpg,Vladimir Putin
Russia,Prime Minister,Dmitry Medvedev,Q23530,2012-05-08,2020-01-16,male,1965-09-14,,Dmitry Medvedev govru official photo 2.jpg,Dmitry Medvedev
Russia,Prime Minister,Mikhail Mishustin,Q4298520,2020-01-16,,male,1966-03-03,,Mikhail Mishustin (2020-07-09).jpg,Mikhail Mishustin
Russia,First Deputy Prime Minister,Viktor Khristenko,Q317667,1999-05-31,2000-01-10,male,1957-08-28,,Victor Khristenko.jpg,Viktor Khristenko
Russia,First Deputy Prime Minister,Mikhail Kasyanov,Q62551,2000-01-10,2000-05-17,male,1957-12-08,,Kasyanov 2015.png,Mikhail Kasyanov
Russia,First Deputy Prime Minister,Dmitry Medvedev,Q23530,2005-11-14,2008-05-12,male,1965-09-14,,Dmitry Medvedev govru official photo 2.jpg,Dmitry Medvedev
Russia,First Deputy Prime Minister,Sergei Ivanov,Q204027,2007-02-15,2008-05-07,male,1953-01-31,,Sergei Ivanov 2.jpg,Sergei Ivanov
Russia,First Deputy Prime Minister,Sergei Ivanov,Q204027,2007-02-15,2008-05-12,male,1953-01-31,,Sergei Ivanov 2.jpg,Sergei Ivanov
Russia,First Deputy Prime Minister,Sergey Naryshkin,Q983654,2007-02-15,2008-05-12,male,1954-10-27,,Naryshkin Sergey Evgenyevich.jpg,Sergey Naryshkin
Russia,First Deputy Prime Minister,Igor Shuvalov,Q1396860,2008-05-12,2018-05-18,male,1967-01-04,,ShuvalovII.jpg,Igor Shuvalov
Russia,First Deputy Prime Minister,Dmitry Kozak,Q714330,2008-10-14,2020-01-15,male,1958-11-07,,Dmitry Kozak official portrait.png,Dmitry Kozak
Russia,First Deputy Prime Minister,Dmitry Rogozin,Q737463,2011-12-23,2018-05-18,male,1963-12-21,,Дмитрий Рогозин - Роскосмос.jpg,Dmitry Rogozin
Russia,First Deputy Prime Minister,Arkady Dvorkovich,Q1430324,2012-05-21,2018-05-18,male,1972-03-26,,Arkadi Dworkowitsch 1.jpg,Arkady Dvorkovich
Russia,First Deputy Prime Minister,Olga Golodets,Q3350421,2012-05-21,2020-01-15,female,1962-06-01,,Golodez ministr.jpeg,Olga Golodets
Russia,First Deputy Prime Minister,Sergey Prikhodko,Q2272602,2013-05-22,2021-01-26,male,1957-01-12,2021-01-26,Sergei Prikhodko 23 May 2013 (cropped).jpg,Sergei Eduardovich Prikhodko
Russia,First Deputy Prime Minister,Anton Siluanov,Q589645,2018-05-18,2020-01-21,male,1963-04-12,,Anton Siluanov (2019-09-25).jpg,Anton Siluanov
Russia,First Deputy Prime Minister,Andrey Belousov,Q4082839,2020-01-21,,male,1959-03-17,,Андрей Белоусов на Съезде железнодорожников (cropped).jpg,Andrey Belousov
Russia,Deputy Prime Minister,Valentina Matviyenko,Q182654,1998,2003,female,1949-04-07,,В.И. Матвиенко.jpg,Valentina Matviyenko
Russia,Deputy Prime Minister,Viktor Khristenko,Q317667,2000-05-18,2004,male,1957-08-28,,Victor Khristenko.jpg,Viktor Khristenko
Russia,Deputy Prime Minister,Alexander Zhukov,Q57735,2004-03-09,2011-12-20,male,1956-06-01,,Alexander Zhukov 2018-07-12.jpg,Alexander Zhukov
Russia,Deputy Prime Minister,Sergey Naryshkin,Q983654,2004-09-13,2008-05-12,male,1954-10-27,,Naryshkin Sergey Evgenyevich.jpg,Sergey Naryshkin
Russia,Deputy Prime Minister,Viktor Zubkov,Q147425,2008-05-12,2012-05-07,male,1941-09-15,,Viktor Zoebkov.jpg,Viktor Zubkov
Russia,Deputy Prime Minister,Sergey Sobyanin,Q319497,2008-05-12,2010-10-21,male,1958-06-21,,Sergey Sobyanin official portrait.jpg,Sergey Sobyanin
Russia,Deputy Prime Minister,Vyacheslav Volodin,Q982461,2010-10-21,2011-12-27,male,1964-02-04,,Володин В.В.jpg,Vyacheslav Volodin
Russia,Deputy Prime Minister,Vladislav Surkov,Q548164,2011-12-27,2012-05-21,male,1964-09-21,,"Vladislav Surkov, 2011.jpg",Vladislav Surkov
Russia,Deputy Prime Minister,Vladislav Surkov,Q548164,2012-05-21,2013-05-08,male,1964-09-21,,"Vladislav Surkov, 2011.jpg",Vladislav Surkov
Russia,Deputy Prime Minister,Yuri Trutnev,Q1320356,2013-08-31,,male,1956-03-01,,Yury Trutnev (2019-12-19).jpg,Yury Trutnev
Russia,Deputy Prime Minister,Tatyana Golikova,Q260432,2018-05-18,,female,1966-02-09,,Tatyana Golikova official portrait.png,Tatyana Golikova
Russia,Deputy Prime Minister,Maxim Akimov,Q45837991,2018-05-18,2020-01-15,male,1970-03-01,,Maxim Akimov.png,Maxim Akimov
Russia,Deputy Prime Minister,Marat Khusnullin,Q1153835,2020-01-21,,male,1966-08-09,,Marat Khusnullin (2020-02-05).jpg,Marat Khusnullin
Russia,Deputy Prime Minister,Yuriy Borisov,Q16186988,2020-01-21,,male,1956-12-31,,Yuriy Ivanovich Borisov.jpg,Yury Borisov
Russia,Deputy Prime Minister,Viktoria Abramchenko,Q39390389,2020-01-21,,female,1975-05-22,,Victoria Abramchenko official portrait (government.ru).jpg,Viktoria Abramchenko
Russia,Deputy Prime Minister,Dmitry Chernyshenko,Q4514292,2020-01-21,,male,1968-09-20,,Dmitry Chernyshenko official portrait (government.ru).jpg,Dmitry Chernyshenko
Russia,Deputy Prime Minister,Dmitry Grigorenko,Q83380758,2020-01-21,,male,1978-07-14,,Dmitry Grigorenko govru.png,Dmitry Grigorenko
Russia,Deputy Prime Minister,Alexey Overchuk,Q83382151,2020-01-21,,male,1964-12-09,,Alexey Overchuk (2020-04-29).jpg,
Russia,Deputy Prime Minister,Alexander Novak,Q4321847,2020-11-10,,male,1971-08-23,,Alexander Novak (2019-11-06).jpg,Alexander Novak
Russia,Minister of Agriculture,Dmitry Patrushev,Q18043712,2018-05-18,,male,1977-10-13,,Dmitry Patrushev (2019-07-23).jpg,Dmitry Patrushev
Russia,"Minister of Construction, Housing and Utilities",Irek Faizullin,Q101444618,2020-11-10,,male,1962-12-08,,Irek Fáizullin.jpg,Irek Faizullin
Russia,Minister of Culture,Olga Lyubimova,Q83375533,2020-01-21,,female,1980-12-31,,Olga Liubimova (2020-12-07).jpg,Olga Lyubimova
Russia,Minister of Defence,Igor Sergeyev,Q740269,1997-05-22,2001-03-28,male,1938-04-20,2006-11-10,ID-Sergeyev-01.jpg,Igor Sergeyev
Russia,Minister of Defence,Sergei Ivanov,Q204027,2001-03-28,2007-02-15,male,1953-01-31,,Sergei Ivanov 2.jpg,Sergei Ivanov
Russia,Minister of Defence,Anatoliy Serdyukov,Q316583,2007-02-15,2012-11-06,male,1962-01-08,,Anatoliy Eduardovich Serdyukov 2018.jpg,Anatoly Serdyukov
Russia,Minister of Defence,Sergey Shoygu,Q32024,2012-11-06,,male,1955-05-21,,Official portrait of Sergey Shoigu.jpg,Sergey Shoygu
Russia,Minister for the Development of the Russian Far East and Arctic,Alexey Chekunkov,Q101627335,2020-01-21,,male,1980-10-03,,А.Чекунков.png,Aleksey Chekunkov
Russia,"Minister of Digital Development, Communications and Mass Media",Maxut Shadayev,Q83379508,2020-01-21,,male,1979-11-11,,Maxut Shadayev (2020-02-0).jpg,Maxut Shadayev
Russia,Minister of Economic Development,Maxim Oreshkin,Q5626203,2016-11-30,2020-01-15,male,1982-07-21,,Maxim Oreshkin (11 December 2017).jpg,Maxim Oreshkin
Russia,Minister of Economic Development,Maxim Reshetnikov,Q28681100,2020-01-21,,male,1979-07-11,,Maxim Reshetnikov economy.gov.ru (cropped).jpg,Maxim Reshetnikov
Russia,Minister of Education,Olga Vasilyeva,Q26393510,2018-05-18,2020-01-15,female,1960-01-13,,Olga Vasilyeva official portrait.jpg,Olga Vasilieva (politician)
Russia,Minister of Education,Sergey Kravtsov,Q55653685,2020-01-21,,male,1974-03-17,,2020-03-10 Sergey Kravtsov.jpg,Sergey Kravtsov (politician)
Russia,Minister of Emergency Situations,Sergey Shoygu,Q32024,1991-04-17,2012-05-11,male,1955-05-21,,Official portrait of Sergey Shoigu.jpg,Sergey Shoygu
Russia,Minister of Emergency Situations,Vladimir Puchkov,Q4384595,2012-05-21,2018-05-07,male,1959-01-01,,Vladimir Puchkov 2012.jpg,Vladimir Puchkov
Russia,Minister of Emergency Situations,Yevgeny Zinichev,Q26180846,2018-05-18,2021-09-08,male,1966-08-18,2021-09-08,Official portrait of Yevgeny Zinichev.jpg,Yevgeny Zinichev
Russia,Minister of Emergency Situations,Aleksandr Chupriyan,Q29865553,2021-09-08,,male,1958-05-23,,Alexander Chupriyan.jpg,Aleksandr Chupriyan
Russia,Minister of Energy,Nikolay Shulginov,Q28664969,2020-11-10,,male,1951-05-18,,Николай Шульгинов (09-11-2021) (cropped).jpg,Nikolay Shulginov
Russia,Minister of Finance,Mikhail Kasyanov,Q62551,1999,2000,male,1957-12-08,,Kasyanov 2015.png,Mikhail Kasyanov
Russia,Minister of Finance,Anton Siluanov,Q589645,2011-09-27,,male,1963-04-12,,Anton Siluanov (2019-09-25).jpg,Anton Siluanov
Russia,Minister of Foreign Affairs,Igor Ivanov,Q378027,1998,2004,male,1945-09-23,,Igor Ivanov 2014.jpg,Igor Ivanov
