position,person,personID,start,end,gender,DOB,DOD,image,enwiki
deputy member of the Parliament of Norway,Eva Borkenhagen,Q106573093,1997,2001,female,1948-04-23,2020-08-17,,
deputy member of the Parliament of Norway,Gudny Fagerhol,Q11219145,1997,2001,female,1949-07-30,,,
deputy member of the Parliament of Norway,Bjørn Hansen,Q11722300,1997,2001,male,1966-10-05,,,
deputy member of the Parliament of Norway,Alf Eivind Ljøstad,Q11957341,1997,2001,male,1935-05-10,,,
deputy member of the Parliament of Norway,Ann Kathrine Skjørshammer,Q11958169,1997,2001,female,1944-05-16,,,
deputy member of the Parliament of Norway,Astri Wessel,Q11959440,1997,2001,female,1947-09-09,,,
deputy member of the Parliament of Norway,Bjørg Wallevik,Q11961284,1997,2001,female,1941-10-22,,,
deputy member of the Parliament of Norway,Gudny Ronglan,Q11973154,1997,2001,female,1942-10-02,,,
deputy member of the Parliament of Norway,Gunn Helgesen,Q11973275,1997,2001,female,1956-02-10,,,
deputy member of the Parliament of Norway,Håvard Wennevold Osflaten,Q11976453,1997,2001,male,1971-03-02,,,
deputy member of the Parliament of Norway,Jon Tørset,Q11979192,1997,2001,male,1940-07-08,,,Jon Tørset
deputy member of the Parliament of Norway,Jostein W. Rovik,Q11979388,1997,2001,male,1942-10-27,,Jostein W Rovik(Jarvin).jpg,
deputy member of the Parliament of Norway,Jørgen Holte,Q11979695,1997,2001,male,1944-05-16,,,Jørgen Holte
deputy member of the Parliament of Norway,Kari Brudevoll,Q11980167,1997,2001,female,1938-08-04,,,
deputy member of the Parliament of Norway,Karin Kjølmoen,Q11980215,1997,2001,female,1946-02-08,,,Karin Kjølmoen
deputy member of the Parliament of Norway,Kjell Harald Sæther,Q11980846,1997,2001,male,1948-08-11,,,
deputy member of the Parliament of Norway,Knut Gjerde,Q11981295,1997,2001,male,1955-09-26,,Knut Gjerde -090194 (crop).jpg,
deputy member of the Parliament of Norway,Linda Beate Randal,Q11984074,1997,2001,female,1966-02-04,,,
deputy member of the Parliament of Norway,Marit Nyhuus,Q11988339,1997,2001,female,1955-10-25,,,
