catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Iraq,Member of the Council of Representatives of Iraq,Shirwan Kamel Sabti,Q42315520,2005,2010,male,,,,
Iraq,Member of the Council of Representatives of Iraq,Zakia Ismail Hakki,Q42331490,2005,2010,female,1939-11-18,2021-08-23,,Zakia Hakki
Iraq,Member of the Council of Representatives of Iraq,Hamid Rashid Ma`ala,Q42331566,2005,2010,male,,2021-05-03,,Hamid Rashid Maʽala
Iraq,Member of the Council of Representatives of Iraq,Alaa Makki,Q6817032,2006,2010,male,1955,,,
Iraq,Member of the Council of Representatives of Iraq,Salim Shushkei,Q56654964,2010,2014,male,1976-03-05,,,
Iraq,Member of the Council of Representatives of Iraq,Ghaida Kambash,Q97129077,2010,2020,female,1974,2020-07-10,,Ghaida Kambash
Iraq,Member of the Council of Representatives of Iraq,Najmiddin Karim,Q6960048,2010-03-07,2011-04-02,male,1949,2020-10-31,Najmaldin Karim conference speech (cropped).jpg,Najmiddin Karim
Iraq,Member of the Council of Representatives of Iraq,Adnan al-Assadi,Q4683925,2010-06-14,2011-07-04,male,1952,2021-04-22,,Adnan al-Assadi
Iraq,Member of the Council of Representatives of Iraq,Ali Yousuf Shukri,Q20419164,2014,2018,male,,,,
Iraq,Member of the Council of Representatives of Iraq,Muthanna Amin,Q31794219,2014,2018,male,,,,
Iraq,Member of the Council of Representatives of Iraq,Sarwa Abdulwahid,Q56704735,2014,2018,female,,,"Sarwa Abd al-Wahid - Feb 2, 2021.jpg",
Iraq,Member of the Council of Representatives of Iraq,Junaid  Mohammed Ab al-Karim Abd al-Qader,Q56051010,2014-07-01,2018-06-30,male,1978,,,
Iraq,Member of the Council of Representatives of Iraq,أحمد السلماني,Q56055074,2014-07-01,2018-06-30,male,1978,,,
Iraq,Member of the Council of Representatives of Iraq,سالم مطر العيساوي,Q56055108,2014-07-01,2018-06-30,male,1972,,,
Iraq,Member of the Council of Representatives of Iraq,Adnan al-Assadi,Q4683925,2015-01-07,2018-06-30,male,1952,2021-04-22,,Adnan al-Assadi
Iraq,Member of the Council of Representatives of Iraq,انسجام عبد الزهره الغراوي,Q104836852,2018,,female,1977-06-25,,انسجام عبد الزهرة الغراوي.jpg,
Iraq,Member of the Transitional National Assembly,حكمت حكيم,Q35343600,2004,2005,male,1948,2010-06-22,,
Iraq,Member of the Transitional National Assembly,إياد العزي,Q12201247,2004-06,2005-01,male,1962-07-01,2005,,
Iraq,Member of the Transitional National Assembly,Fuad Masum,Q17410819,2004-06,2005-01,male,1938-01-01,,Fuad Masum 2014.jpg,Fuad Masum
Iraq,Member of the Transitional National Assembly,Abdul Karim al-Anizi,Q2821419,2004-06,2005-01,male,1954,,,Abdul Karim al-Anizi
Iraq,Member of the Transitional National Assembly,فريدون عبد القادر,Q35341137,2004-06,2005-01,male,,,,
