id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107600891,Cleopas Dlamini,male,,,,,Cleopas Dlamini (cropped).jpg,Cleopas Dlamini
Q108461960,Albert Nhlanhla Shabangu,male,,,,,,
Q108461961,Abednego Ntshangase,male,,,,,,
Q108461963,Roy Fanourakis,male,,,,,,
Q108461964,Mabili Dlamini,male,,,,,,
Q108461965,Mtiti Fakudze,male,,,,,,
Q108461966,Mgwagwa Gamedze,male,,,,,,
Q16973942,Themba Nhlanganiso Masuku,male,1950-07-07,11,,,Themba Nhlanganiso Masuku.jpg,Themba Masuku
Q19380887,Majozi Sithole,male,,7,,,,
Q2062420,Paul Shabangu,male,1943,9,,,,Paul Shabangu
Q331724,Themba Dlamini,male,1950-12-01,11,,,Themba Dlamini 2007.jpg,Themba Dlamini
Q3324762,Moses Mathendele Dlamini,male,1947-12-02,11,,,,Moses Mathendele Dlamini
Q484720,Sotsha Dlamini,male,1940-05-27,11,2017-02-07,11,,Sotsha Dlamini
Q4901662,Bheki Dlamini,male,1952,9,,,,Bheki Dlamini
Q56630743,Vincent Mhlanga,male,,7,2020-12-24,11,,Vincent Mhlanga
Q57340,Mswati III,male,1968-04-19,11,,,King Mswati III with Obamas cropped.jpg,Mswati III
Q57715,Barnabas Sibusiso Dlamini,male,1942-05-15,11,2018-09-28,11,Barnabas Sibusiso Dlamini 2011.jpg,Barnabas Sibusiso Dlamini
Q57973856,Ambrose Mandvulo Dlamini,male,1968-03-05,11,2020-12-13,11,10.08 總統接見「史瓦帝尼王國總理戴安伯伉儷」 (48863175906).jpg,Ambrose Mandvulo Dlamini
Q58271,Lutfo Dlamini,male,1960-07-07,11,,,,Lutfo Dlamini
Q64747413,Thuli Dladla,female,,7,,,02.26 總統接見「史瓦帝尼王國外交暨國際合作部札杜莉部長」 (40252301413).jpg,Thuli Dladla
Q86753035,Neal Rijkenberg,male,,,,,,Neal Rijkenberg
Q97156196,Lizzy Nkosi,female,,,,,,Lizzy Nkosi
Q98893969,Joel Musa Nhleko,male,,,,,,
