catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Kazakhstan,President,Kassym-Jomart Tokayev,Q200881,2019-03-20,male,1953-05-17,,Kassym-Jomart Tokayev (19-08-2022).jpg,Kassym-Jomart Tokayev
Kazakhstan,Prime Minister,Alihan Smaiylov,Q56825894,2022-01-05,male,1972-12-18,,Älihan Smaiylov (2022-01-24) (cropped).jpg,Älihan Smaiylov
Kazakhstan,Deputy Prime Minister,Mukhtar Tleuberdi,Q70254110,2019-09-08,male,1968-06-30,,Mukhtar Tileuberdi (2020-02-02).jpg,Mukhtar Tleuberdi
Kazakhstan,Deputy Prime Minister,Erulan Jamaubaev,Q97185700,2022-03-29,male,1974-03-25,,,Erulan Jamaubaev
Kazakhstan,Deputy Prime Minister,Serik Zhumangarin,Q113548929,2022-08-15,male,1969-07-22,,,
Kazakhstan,First Deputy Prime Minister,Sklyar Roman Vasilyevich,Q16436743,2022-01-11,male,1971-05-08,,Roman Sklyar (2017-09-26) (cropped).jpg,Roman Sklyar
Kazakhstan,Minister of Agriculture,Yerbol Karashukeev,Q108391615,2021-07,male,1976,,,
Kazakhstan,Minister of Culture and Sports,Dauren Abaev,Q24350696,2022-01-11,male,1979-04-18,,Dauren Abayev (37573770292) (cropped).jpg,Dauren Abaev
Kazakhstan,Minister of Defence,Ruslan Jaqsylyqov,Q11348947,2022-01-19,male,1966-03-04,,GK-NG-2.jpg,Ruslan Jaqsylyqov
Kazakhstan,"Minister of Digital Development, Innovation and Aerospace Industry",Bağdat Musin,Q98103179,2020-09-02,male,1983-03-03,,Mussin b (cropped).jpg,Bağdat Musin
Kazakhstan,"Minister of Ecology, Geology and Natural Resources",Serıkqali Brekeşev,Q108498636,2021-09-10,male,1972-10-14,,,Serıkqali Brekeşev
Kazakhstan,Minister of Education,Ashat Aimagambetov,Q65129668,2022-06-11,male,1982-06-14,,Ashat Aimagambetov (24112) (cropped).jpg,Ashat Aimagambetov
Kazakhstan,Minister of Emergency Situations,Yuri Ilyin,Q99693149,2020-09-11,male,1968-04-09,,Yuri Ilyin (29389) (cropped).jpg,Yuri Ilyin
Kazakhstan,Minister of Energy,Bulat Aqchulaqov,Q16437571,2022-01-11,male,1971-04-09,,,Bulat Aqchulaqov
Kazakhstan,Minister of Finance,Erulan Jamaubaev,Q97185700,2020-05-18,male,1974-03-25,,,Erulan Jamaubaev
Kazakhstan,Minister of Foreign Affairs,Mukhtar Tleuberdi,Q70254110,2019-09-08,male,1968-06-30,,Mukhtar Tileuberdi (2020-02-02).jpg,Mukhtar Tleuberdi
Kazakhstan,Minister of Healthcare,Azhar Giniyat,Q110556854,2022-01-11,female,1969-06-08,,,
Kazakhstan,Minister of Industry and Infrastructure Development,Kairbek Uskenbayev,Q110556593,2022-01-11,male,1964-10-24,,,
Kazakhstan,Minister of Information and Social Development,Darkhan Kydyrali,Q12540008,2022-09-02,male,1974-04-16,,Darkhan Kydyrali.jpg,Darkhan Kydyrali
Kazakhstan,Minister of Internal Affairs,Marat Akhmetzhanov,Q12552839,2022-02-25,male,1964,,,
Kazakhstan,Minister of Justice,Kanat Mussin,Q110556519,2022-01-11,male,,,,
Kazakhstan,Minister of Labor and Social Protection of the Population,Tamara Duisenova,Q16436474,2022-04-11,female,1965-01-11,,Tamara Duisenova (7.2016) (cropped).jpg,Tamara Duisenova
Kazakhstan,Minister of National Economy,Alibek Kuantyrov,Q110557338,2022-01-11,male,1983-11-14,,,
Kazakhstan,Minister of Science and Higher Education,Sayasat Nurbek,Q112393104,2022-06-11,male,1981-05-18,,,
Kazakhstan,Minister of Trade and Integration,Serik Zhumangarin,Q113548929,2022-08-15,male,1969-07-22,,,
Kazakhstan,State Secretary,Erlan Karin,Q4215062,2022-01-05,male,1976-05-26,,Erlankarin.jpg,Erlan Karin
Kazakhstan,Head of the Presidential Administration,Murat Nurtleu,Q66648657,2022-02-01,male,1976-03-11,,,
Kazakhstan,Head of the Office of the Prime Minister,Galymjan Koishibaev,Q1521334,2019-03-26,male,1968-04-12,,Ğalymjan Qoişybaev (2022-04-11) (cropped).jpg,
Kazakhstan,Secretary of the Security Council,Asset Issekeshev,Q461014,2020-01-16,male,1971-08-17,,Aset Isekeshev.jpg,Asset Issekeshev
Kazakhstan,Chairman of the National Security Committee,Yermek Sagimbayev,Q110434889,2022-01-05,male,1967-10-11,,,
Kazakhstan,Prosecutor General,Gizat Nurdauletov,Q109497308,2019-03,male,,,,
Kazakhstan,Governor of the National Bank,Galymzhan Pirmatov,Q111512336,2022-02-03,male,1972-04-24,,,
Kazakhstan,Chair of the Senate,Mäulen Äşimbaev,Q12555734,2020-05-04,male,1971-01-28,,"Maulen Ashimbaev, 2013 (cropped).JPG",Mäulen Äşimbaev
