catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Kazakhstan,President,Kassym-Jomart Tokayev,Q200881,2019-03-20,male,1953-05-17,,Kassym-Jomart Tokayev (2020-02-01).jpg,Kassym-Jomart Tokayev
Kazakhstan,Prime Minister,Alihan Smaiylov,Q56825894,2022-01-05,male,1972-12-18,,Alihan Smayilov (26074) (cropped).jpg,Alihan Smaiylov
Kazakhstan,Deputy Prime Minister,Mukhtar Tleuberdi,Q70254110,2019-09-08,male,1968-06-30,,Mukhtar Tileuberdi (2020-02-02).jpg,Mukhtar Tleuberdi
Kazakhstan,Deputy Prime Minister,Eraly Togjanov,Q16436597,2020-02-11,male,1963-05-13,,Eraly Tugjanov (2016-04-06).jpg,Eraly Togjanov
Kazakhstan,Deputy Prime Minister,Bakhyt Sultanov,Q4445713,2022-01-11,male,1971-11-29,,Бахыт Султанов (16-11-2021).jpg,Bakhyt Sultanov
Kazakhstan,First Deputy Prime Minister,Sklyar Roman Vasilyevich,Q16436743,2022-01-11,male,1971-05-08,,Roman Sklyar (2017-09-26) (cropped).jpg,Roman Sklyar
Kazakhstan,Minister of Agriculture,Yerbol Karashukeev,Q108391615,2021-07,male,1976,,,
Kazakhstan,Minister of Culture and Sports,Dauren Abaev,Q24350696,2022-01-11,male,1979-04-18,,Dauren Abayev (37573770292) (cropped).jpg,Dauren Abaev
Kazakhstan,Minister of Defence,Murat Bektanov,Q28496487,2021-08-31,male,1965-09-18,,Bektanov in 2017.jpeg,Murat Bektanov
Kazakhstan,"Minister of Digital Development, Innovation and Aerospace Industry",Bağdat Musin,Q98103179,2020-09-02,male,1983-03-03,,Mussin b (cropped).jpg,Bağdat Musin
Kazakhstan,"Minister of Ecology, Geology and Natural Resources",Serıkqali Brekeşev,Q108498636,2021-09-10,male,1972-10-14,,,Serıkqali Brekeşev
Kazakhstan,Minister of Education and Science,Ashat Aimagambetov,Q65129668,2019-06-13,male,1982-06-14,,Ashat Aimagambetov (24112) (cropped).jpg,Ashat Aimagambetov
Kazakhstan,Minister of Emergency Situations,Yuri Ilyin,Q99693149,2020-09-11,male,1968-04-09,,Yuri Ilyin (29389) (cropped).jpg,Yuri Ilyin
Kazakhstan,Minister of Energy,Bulat Aqchulaqov,Q16437571,2022-01-11,male,1971-04-09,,,Bulat Aqchulaqov
Kazakhstan,Minister of Finance,Erulan Jamaubaev,Q97185700,2020-05-18,male,1974-03-25,,,Erulan Jamaubaev
Kazakhstan,Minister of Foreign Affairs,Mukhtar Tleuberdi,Q70254110,2019-09-08,male,1968-06-30,,Mukhtar Tileuberdi (2020-02-02).jpg,Mukhtar Tleuberdi
Kazakhstan,Minister of Healthcare,Azhar Giniyat,Q110556854,2022-01-11,,1969-06-08,,,
Kazakhstan,Minister of Industry and Infrastructure Development,Kairbek Uskenbayev,Q110556593,2022-01-11,,1964-10-24,,,
Kazakhstan,Minister of Information and Social Development,Askar Umarov,Q110529924,2022-01-11,male,1976-06-30,,,
Kazakhstan,Minister of Internal Affairs,Erlan Turgymbaev,Q12542039,2019-02-12,male,1962-08-14,,,Erlan Turgymbaev
Kazakhstan,Minister of Justice,Kanat Mussin,Q110556519,2022-01-11,male,,,,
Kazakhstan,Minister of Labor and Social Protection of the Population,Serik Şapkenov,Q12562169,2021-01-18,male,1979-07-29,,Shapkenov Serik 2021 (cropped 2).jpg,Serik Şapkenov
Kazakhstan,Minister of National Economy,Alibek Kuantyrov,Q110557338,2022-01-11,male,1983-11-14,,,
Kazakhstan,Minister of Trade and Integration,Bakhyt Sultanov,Q4445713,2019-07-17,male,1971-11-29,,Бахыт Султанов (16-11-2021).jpg,Bakhyt Sultanov
Kazakhstan,State Secretary,Krymbek Kusherbayev,Q4250192,2019-09-18,male,1955-05-20,,Kusherbayev Krymbek.jpg,Krymbek Kusherbayev
Kazakhstan,Head of the Presidential Administration,Erlan Qoşanov,Q29587228,2019-09-18,male,1962-08-14,,Erlan Qoşanov (2018-02-12) (cropped).jpg,Erlan Qoşanov
Kazakhstan,Head of the Office of the Prime Minister,Galymjan Koishibaev,Q1521334,2019-03-26,male,1968-04-12,,,
Kazakhstan,Secretary of the Security Council,Asset Issekeshev,Q461014,2020-01-16,male,1971-08-17,,Aset Isekeshev.jpg,Asset Issekeshev
Kazakhstan,Chairman of the National Security Committee,Yermek Sagimbayev,Q110434889,2022-01-05,male,1967-10-11,,,
Kazakhstan,Prosecutor General,Gizat Nurdauletov,Q109497308,2019-03,male,,,,
Kazakhstan,Governor of the National Bank,Yerbolat Dosayev,Q4167136,2019-02-25,male,1970-05-21,,Erbolat Dosaev (06.2013) (cropped).png,Erbolat Dosaev
Kazakhstan,Chair of the Senate,Mäulen Äşimbaev,Q12555734,2020-05-04,male,1971-01-28,,"Maulen Ashimbaev, 2013 (cropped).JPG",Mäulen Äşimbaev
Kazakhstan,Äkim of Nur-Sultan,Altai Kölgınov,Q15070762,2019-06-13,male,1978-01-15,,Kolginov.jpg,Altai Kölgınov
