catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Zimbabwe,President,Robert Mugabe,Q10707,1987-12-31,2017-11-21,male,1924-02-21,2019-09-06,Robert Mugabe official portrait.jpg,Robert Mugabe
Zimbabwe,President,Phelekezela Mphoko,Q7181212,2017-11-21,2017-11-24,male,1940-06-11,,Phelekezela Mphoko.jpg,Phelekezela Mphoko
Zimbabwe,President,Emmerson Mnangagwa,Q510523,2017-11-24,,male,1942-09-15,,Emmerson Mnangagwa (2019-01-15).jpg,Emmerson Mnangagwa
Zimbabwe,Vice President,Simon Muzenda,Q2287723,1987,2003,male,1922-10-28,2003-09-20,,Simon Muzenda
Zimbabwe,Vice President,Joice Mujuru,Q981736,2004-12-06,2014-12-08,female,1955-04-15,,Joice Mujuru at Horasis Global Arab Business Meeting 2012 crop.jpg,Joice Mujuru
Zimbabwe,Vice President,Emmerson Mnangagwa,Q510523,2014-12-12,2017-11-06,male,1942-09-15,,Emmerson Mnangagwa (2019-01-15).jpg,Emmerson Mnangagwa
Zimbabwe,Vice President,Constantine Chiwenga,Q381334,2017-12-28,,male,1956-08-25,,"The Vice President of the Republic of Zimbabwe, General (Retd.) Dr. Constantino Chiwenga on March 23, 2018 (cropped).jpg",Constantine Chiwenga
Zimbabwe,Second Vice President,Joseph Msika,Q1399766,1999-12-23,2009-08-04,male,1923-12-06,2009-08-04,Joseph Msika.jpg,Joseph Msika
Zimbabwe,Second Vice President,John Nkomo,Q3274147,2009-12-14,2013-01-17,male,1934-08-22,2013-01-17,,John Nkomo
Zimbabwe,Second Vice President,Phelekezela Mphoko,Q7181212,2014-12-12,2017-11-27,male,1940-06-11,,Phelekezela Mphoko.jpg,Phelekezela Mphoko
Zimbabwe,Second Vice President,Kembo Mohadi,Q6386891,2017-12-28,2021-03-01,male,1949-11-15,,"Vice President of Zimbabwe, Mr. Kembo Mohadi, at the Munhumutapa Building, in Harare, Zimbabwe on November 03, 2018 (cropped).JPG",Kembo Mohadi
Zimbabwe,Prime Minister,Morgan Tsvangirai,Q57762,2009-02-11,2013-09-11,male,1952-03-10,2018-02-14,Morgan Tsvangirai Oslo 2009 A.jpg,Morgan Tsvangirai
Zimbabwe,Deputy Prime Minister,Arthur Mutambara,Q432934,2009-02-11,2013-09-11,male,1966-05-25,,Mutambara 2009 crop.jpg,Arthur Mutambara
Zimbabwe,Deputy Prime Minister,Thokozani Khuphe,Q9358456,2009-02-11,2013-08-13,female,1963-11-18,,Thokozani Khuphe.jpg,Thokozani Khuphe
