catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Belize,Monarch,Elizabeth II,Q9682,1981-09-21,2022-09-08,female,1926-04-21,2022-09-08,Queen Elizabeth II official portrait for 1959 tour (retouched) (cropped) (3-to-4 aspect ratio).jpg,Elizabeth II
Belize,Monarch,Charles III,Q43274,2022-09-08,,male,1948-11-14,,"Charles, Prince of Wales in 2021 (cropped) (3).jpg",Charles III
Belize,Governor-General,Colville Young,Q373552,1993-11-17,2021-04-30,male,1932-11-20,,Colville Young Embassy 2011 (cropped).jpeg,Colville Young
Belize,Governor-General,Stuart Leslie,Q7626757,2021-04-30,2021-05-27,male,,,Stuart Leslie 2022.jpg,Stuart Leslie
Belize,Governor-General,Froyla Tzalam,Q106601151,2021-05-27,,female,,,Froyla Tzalam 2022.jpg,Froyla Tzalam
Belize,Prime Minister,Said Musa,Q335215,1998-08-28,2008-02-08,male,1944-03-19,,Said Musa 2007.jpg,Said Musa
Belize,Prime Minister,Dean Barrow,Q57701,2008-02-08,2020-11-12,male,1951-03-02,,"Belizean Prime Minister, Dean Barrow in London, 27 June 2013 (cropped).jpg",Dean Barrow
Belize,Prime Minister,Johnny Briceño,Q6266369,2020-11-12,,male,1960-07-17,,Johnny Briceño (52135383761) (cropped).jpg,Johnny Briceño
Belize,Deputy Prime Minister,Johnny Briceño,Q6266369,1998,2007-06-05,male,1960-07-17,,Johnny Briceño (52135383761) (cropped).jpg,Johnny Briceño
Belize,Deputy Prime Minister,Juan Vildo Marin,Q16193234,2007-06-05,2008-02-12,male,1959-03-09,,,Juan Vildo Marin
Belize,Deputy Prime Minister,Gaspar Vega,Q5526559,2008-02-12,2016-10-17,male,,,Gaspar Vega.jpg,Gaspar Vega
Belize,Deputy Prime Minister,Cordel Hyde,Q58896069,2020-11-16,,male,1973-08-20,,Cordel Hyde 2022.jpg,Cordel Hyde
Belize,"Minister of Agriculture, Food Security, and Enterprise",Jose Abelardo Mai,Q24953680,2020-11-16,,male,,,,
Belize,Minister of The Blue Economy and Civil Aviation,Andre Perez,Q109930999,2020-11-16,,male,,,,
Belize,"Minister of Education, Culture, Science and Technology",Francis Fonseca,Q5480967,2020-11-16,,male,1967-03-11,,Francis Fonseca 2022.jpg,Francis Fonseca
Belize,"Minister of Finance, Economic Development and Investment",Johnny Briceño,Q6266369,2020-11-16,,male,1960-07-17,,Johnny Briceño (52135383761) (cropped).jpg,Johnny Briceño
Belize,Minister of Foreign Affairs,Eamon Courtenay,Q3046363,2006-04-12,2007-06-05,male,1960-06-11,,Eamon Courtenay (cropped).jpg,Eamon Courtenay
Belize,Minister of Foreign Affairs,Eamon Courtenay,Q3046363,2020-11-13,,male,1960-06-11,,Eamon Courtenay (cropped).jpg,Eamon Courtenay
Belize,Minister of Health and Wellness,Michel Chebat,Q16198058,2020-11-16,2022-01-10,male,1969-05-23,,,Michel Chebat
Belize,Minister of Health and Wellness,Kevin Bernard,Q109930959,2022-01-10,,male,,,,
Belize,Minister of Home Affairs and New Growth Industries,Kareem Musa,Q58896061,2020-11-16,,male,,,,Kareem Musa
Belize,"Minister of Human Development, Families and Indigenous People's Affairs",Dolores Balderamos-García,Q5289506,2020-11-16,,female,1957,,,Dolores Balderamos-García
Belize,Minister of Infrastructure Development and Housing,Julius Espat,Q24953658,2020-11-16,,male,1968,,,Julius Espat
Belize,Minister of National Defence and Border Security,Florencio Marin Jr.,Q24953659,2020-11-16,,male,,,Florencio Marin Jr (cropped).jpg,
Belize,"Minister of Natural Resources, Petroleum and Mining",Cordel Hyde,Q58896069,2020-11-16,,male,1973-08-20,,Cordel Hyde 2022.jpg,Cordel Hyde
Belize,"Minister of Public Service, Constitutional and Political Reform",Henry Charles Usher,Q109931006,2020-11-16,,male,,,,
Belize,Minister of Public Utilities and Logistics,Rodwell Ferguson,Q7357499,2020-11-16,2022-01-10,male,1962,,,Rodwell Ferguson
Belize,Minister of Public Utilities and Logistics,Michel Chebat,Q16198058,2022-01-10,,male,1969-05-23,,,Michel Chebat
Belize,"Minister of Rural Transformation, Community Development, Local Government and Labour",Oscar Ruben Requena,Q86003169,2020-11-16,,male,,,,
Belize,"Minister of Sustainable Development, Climate Change and Disaster Risk Management",Orlando Habet,Q86003939,2020-11-16,,male,,,,
Belize,Minister of Tourism and Diaspora Relations,Anthony Mahler,Q109930990,2020-11-16,,male,,,,
Belize,"Minister of Youth, Sports and E-Governance",Kevin Bernard,Q109930959,2020-11-16,2022-01-10,male,,,,
Belize,"Minister of Youth, Sports and Transport",Rodwell Ferguson,Q7357499,2022-01-10,,male,1962,,,Rodwell Ferguson
Belize,Attorney-General,Magali Marin-Young,Q97256948,2020-11-16,,female,,,,
Belize,Chief Justice,Kenneth Benjamin,Q6389858,2011-09-15,2020-03-20,male,,,Kenneth Benjamin CJ.jpg,Kenneth Benjamin (judge)
Belize,Chief Justice,Michelle Arana,Q18684189,2020-03-19,2022-09-03,female,1969,,Justice Michelle Arana (cropped).jpg,Michelle Arana
Belize,Chief Justice,Louise Blenman,Q6688638,2022-09-03,,female,,,,Louise Blenman
Belize,Speaker of the House of Representatives,Elizabeth Zabaneh,Q86003400,2001-08-03,2008-01-07,female,,,,
Belize,Speaker of the House of Representatives,Emil Arguelles,Q5371158,2008-03-14,2012-02-03,male,1972-07-04,,,Emil Arguelles
Belize,Speaker of the House of Representatives,Michael Peyrefitte,Q65329992,2012-03-21,2017-01-01,male,,,,
Belize,Speaker of the House of Representatives,Laura Tucker-Longsworth,Q28777204,2017-01-13,2020-10-06,female,,,,Laura Tucker-Longsworth
Belize,Speaker of the House of Representatives,Valerie Woods,Q97258252,2020-12-11,,female,,,Valerie Woods CWP (cropped).png,Valerie Woods
Belize,President of the Senate,Elizabeth Zabaneh,Q86003400,1998-09-12,2001-07,female,,,,
Belize,President of the Senate,Sylvia Flores,Q27943427,2001-08-14,2003-02-04,female,1951,2022-12-06,,Sylvia Flores
Belize,President of the Senate,Philip Zuniga,Q97257503,2003-04-04,2008-01-07,male,,,,
Belize,President of the Senate,Andrea Gill,Q21067425,2008-03-14,2012-02-03,female,,,,Andrea Gill (politician)
Belize,President of the Senate,Marco Pech,Q6757653,2012-03-21,2015-09,male,,,,Marco Pech
Belize,President of the Senate,Lee Mark Chang,Q6514472,2015-11-09,2019-04-21,male,,,06.19 總統接見「貝里斯眾議院塔蘿拉暨參議院議長鄭經緯一行」 (Flickr id 41080872310).jpg,Lee Mark Chang
Belize,President of the Senate,Darrell Bradley,Q19873846,2019-06-26,2020-12-11,male,1979,,Darrell Bradley (cropped).jpg,Darrell Bradley
Belize,President of the Senate,Carolyn Trench-Sandiford,Q104770990,2020-12-11,,female,,,,Carolyn Trench-Sandiford
Belize,Governor of the Central Bank,Joy Grant,Q18978033,2016-10,2021-03,female,1951-02-05,,,Joy Grant
Belize,Governor of the Central Bank,Gustavo Manuel Vasquez,Q110553493,2021-04-01,2021-08-13,male,,,,
Belize,Governor of the Central Bank,Kareem Michael,Q110553515,2021-12-06,,male,,,,
Belize,Commander of the Defence Force,Steven Ortega,Q86003994,2018-01-26,,male,,,,
