catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
San Marino,Captain Regent,Manuel Ciavatta,Q114239945,2022-10-01,male,1976-12-27,,,Manuel Ciavatta
San Marino,Captain Regent,Maria Luisa Berti,Q289413,2022-10-01,female,1971-10-06,,,Maria Luisa Berti
San Marino,Secretary for Education and Culture,Andrea Belluzzi,Q19691256,2020-01-08,male,1968-03-29,,Andrea Belluzzi.jpg,Andrea Belluzzi
San Marino,Secretary for Finance and Budget,Marco Gatti,Q3846151,2020-01-08,male,1967-01-25,,,
San Marino,Secretary for Foreign and Political Affairs,Luca Beccari,Q15998324,2020-01-07,male,1974-10-29,,Luca Beccari San Marino (cropped).jpg,Luca Beccari
San Marino,Secretary for Health and Social Security,Roberto Ciavatta,Q110174519,2020-01-08,male,1976-09-23,,,
San Marino,Secretary for Industry and Crafts,Fabio Righi,Q110174541,2020-01-08,male,1987,,,
San Marino,Secretary for Internal Affairs,Elena Tonnini,Q107285242,2020-01-07,female,1979-01-02,,,Elena Tonnini
San Marino,Secretary for Justice and the Family,Massimo Andrea Ugolini,Q23681818,2020-01-08,male,1978-07-26,,,Massimo Andrea Ugolini
San Marino,Secretary for Labour and Cooperation,Teodoro Lonfernini,Q57547,2020-01-08,male,1976-05-12,,,Teodoro Lonfernini
San Marino,Secretary for the Territory and the Environment,Stefano Canti,Q97649650,2020-01-08,male,1975-08-28,,,
San Marino,Secretary for Tourism,Federico Pedini Amati,Q888414,2020-01-08,male,1976-08-11,,FedericoPediniAmati.png,Federico Pedini Amati
San Marino,Governor of the Central Bank,Catia Tomasetti,Q110174675,2018-05-09,female,,,,
