position,person,personID,start,gender,DOB,DOD,image,enwiki
French Co-Prince,Emmanuel Macron,Q3052772,2017-05-14,male,1977-12-21,,Emmanuel Macron in July 2017.jpg,Emmanuel Macron
Episcopal Co-Prince,Joan Enric Vives Sicília,Q57473,2003-05-12,male,1949-07-24,,Mons. Vives (30612833490).jpg,Joan Enric Vives i Sicília
Prime Minister,Xavier Espot Zamora,Q21001195,2019-05-16,male,1979-10-30,,Xavier Espot Zamora Andorra Estònia (cropped).jpg,Xavier Espot
Minister of Culture and Sport,Sílvia Riva González,Q21012236,2019-05-30,female,1979-03-18,,,Sílvia Riva González
Minister of Education and Culture,Ester Vilarrubla i Escales,Q65038596,2019-05-22,female,1965,,,Ester Vilarrubla Escales
"Minister of the Environment, Agriculture, and Sustainability",Silvia Calvó i Armengol,Q58009929,2015,female,1969-10-15,,Sílvia Calvó Armengol a l'assemblea de l'OSCE 2017 (cropped).jpg,Sílvia Calvó i Armengol
Minister of Finance,Èric Jover,Q100732936,2019-05-22,male,,,Eric Jover a l'assemblea de l'OSCE (retallat).jpg,Èric Jover
Minister of Foreign Affairs,Maria Ubach,Q55955802,2017-07-17,female,1973-06-14,,Maria Ubach Font (32384849308) (cropped).jpg,Maria Ubach i Font
Minister of Health,Joan Martínez Benazet,Q88194125,2019-05-22,male,1954,,,
Minister of Justice and the Interior,Josep Maria Rossell Pons,Q107981779,2019-05-22,male,,,,
"Minister of the Presidency, Economy and Business",Jordi Gallardo Fernández,Q56403525,2019-05-21,male,1976-03-23,,Jordi Gallardo Férnandez.png,Jordi Gallardo
Minister of Public Administration and Citizen Participation,Trini Marín González,Q108500714,2021-07-12,female,1964,,,
"Minister of Social Affairs, Youth and Equality",Judith Pallarés Cortés,Q56403529,2021-05-20,female,1972-08-05,,Judith Pallarés.jpg,Judith Pallarés i Cortés
Minister of Territorial Management and Housing,Víctor Filloy Franco,Q107981776,2021-05-20,male,,,,
Minister of Tourism,Jordi Torres Falcó,Q107981821,2021-05-20,male,,,,
Mayor of Andorra la Vella,Contxita Marsol Riart,Q2996190,2015-12-28,female,1960-08-27,,"(Conxita Marsol) Apuesta de los Gobiernos locales iberoamericanos por la autonomía, la participación y la educación.jpg",Conxita Marsol Riart
