catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Peru,President,Pedro Castillo,Q103838608,2021-07-28,male,1969-10-19,,Mensaje a la Nación - Pedro Castillo (cropped).png,Pedro Castillo
Peru,Vice President,Dina Boluarte,Q106474688,2021-07-28,female,1962-05-31,,Dina Boluarte (2021).png,Dina Boluarte
Peru,President of the Council of Ministers,Aníbal Torres,Q107721951,2022-02-08,male,1942-12-28,,Juramentación de nuevo Gabinete Ministerial 3-45 screenshot - Aníbal Torres (cropped).png,Aníbal Torres
Peru,Minister of Agriculture,Óscar Zea Choquechambi,Q107347946,2022-02-08,male,1973,,Óscar Zea Choquechambi.png,
Peru,Minister of Culture,Alejandro Salas,Q110782373,2022-02-01,male,1977,,Alejandro Salas Zegarra.png,
Peru,Minister of Defence,José Luis Gavidia,Q110782031,2022-02-01,male,,,José Luis Gavidia 2022.png,
Peru,Minister of Development and Social Inclusion,Dina Boluarte,Q106474688,2021-07-29,female,1962-05-31,,Dina Boluarte (2021).png,Dina Boluarte
Peru,Minister of Economy and Finance,Oscar Graham,Q110782052,2022-02-01,male,1962-12-23,,Oscar Miguel Graham Yamahuchi.png,
Peru,Minister of Education,Rosendo Serna,Q110296480,2021-12-28,male,1960-07-10,,Rosendo Serna 2022.png,
Peru,Minister of Energy and Mines,Carlos Palacios,Q110863399,2022-02-08,male,,,Carlos Palacios Pérez.png,
Peru,Minister of the Environment,Modesto Montoya,Q3317922,2022-02-08,male,1949-02-24,,XI Encuentro Científico Internacional de invierno 0-27 screenshot (cropped).png,Modesto Montoya
Peru,Minister of Foreign Affairs,César Landa Arroyo,Q43955694,2022-02-01,male,1958-06-15,,César Landa Arroyo (cropped).jpg,
Peru,Minister of Foreign Commerce and Tourism,Roberto Helbert Sánchez Palomino,Q82594926,2021-07-29,male,1969-02-03,,Sanchez. Ceremonia de juramentación del Gabinete Ministerial 11-1 screenshot (cropped).png,
Peru,Minister of Health,Jorge López Peña,Q111523231,2022-04-07,male,,,,
Peru,"Minister of Housing, Construction and Sanitation",Geiner Alvarado López,Q107710357,2021-07-29,male,1983-05-07,,Juramentación de nuevo Gabinete Ministerial 10-2 screenshot - Geiner Alvarado (cropped).png,
Peru,Minister of Justice and Human Rights,Félix Chero,Q111294267,2022-03-19,male,,,,
Peru,Minister of the Interior,Alfonso Chávarry,Q110782074,2022-02-01,male,,,Alfonso Chávarry Estrada.png,
Peru,Minister of Labour,Betssy Chávez,Q108414613,2021-10-06,female,1989-06-03,,Juramentación de nuevo Gabinete Ministerial 6-38 screenshot - Betssy Chávez (cropped).png,
Peru,Minister of Production,Jorge Luis Prado Palomino,Q109619947,2021-11-17,male,,,Jorge Prado Palomino.png,
Peru,Minister of Transportation and Communications,Nicolás Bustamante,Q111097257,2022-03-04,male,1965-09-10,,,
Peru,Minister of Women and Vulnerable Populations,Diana Miloslavich,Q108758583,2022-02-08,female,1953-03-20,,Diana Miloslavich.png,
Peru,President of Congress,Maricarmen Alva,Q107494056,2021-07-26,female,1967-02-24,,"María del Carmen Alva, Noviember de 2021 (cropped).jpg",Maricarmen Alva
Peru,Chairman of the Central Reserve Bank,Julio Velarde,Q5955848,2006-09-07,male,1952-07-01,,Julio Velarde.jpg,Julio Velarde
Peru,President of the Supreme Court,Elvia Barrios,Q103860161,2021-01-04,female,,,,
Peru,Chief of the Joint Command,Manuel Gómez de la Torre,Q108435271,2021-07-28,male,1963-04-04,,Manuel Gómez de la Torre (26309992695) (cropped).jpg,
