catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Belarus,member of the Supreme Soviet of Belarus,Alexander Lukashenko,Q2866,1990,,male,1954-08-30,,Alexander Lukashenko (2020-09-03) 01(cropped).jpg,Alexander Lukashenko
Belarus,member of the Supreme Soviet of Belarus,Viktar Kuchynski,Q9373952,1990-05-16,2001-01-09,male,1958-07-02,,,
Belarus,member of the Supreme Soviet of Belarus,Wasil Szłyndzikau,Q15174189,1996,2000,male,1947-09-01,,,
Belarus,member of the Supreme Soviet of Belarus,Waleryj Lipkin,Q100936370,1996-01-09,2001-01-09,male,1951-01-09,,,
Belarus,member of the Supreme Soviet of Belarus,Iwan Ciareszka,Q11714391,1996-01-09,2001-01-09,male,1942-03-15,,,
Belarus,member of the Supreme Soviet of Belarus,Marat Afanasyew,Q11767299,1996-01-09,2001-01-09,male,1946-03-03,2016-12-11,,
Belarus,member of the Supreme Soviet of Belarus,Nina Cielabuk,Q11792285,1996-01-09,2001-01-09,female,1942-03-29,,,
Belarus,member of the Supreme Soviet of Belarus,Pyotr Kaluhin,Q11817616,1996-01-09,2001-01-09,male,1941-09-13,,,
Belarus,member of the Supreme Soviet of Belarus,Pyotr Zhushma,Q11818363,1996-01-09,2000-01-09,male,1963-12-20,,,
Belarus,member of the Supreme Soviet of Belarus,Juryi Malumau,Q13033540,1996-01-09,2001-01-09,male,1953-01-26,,,
Belarus,member of the Supreme Soviet of Belarus,Vasil Sakovich,Q13133004,1996-01-09,2000-01-09,male,1949,,,
Belarus,member of the Supreme Soviet of Belarus,Uładzimir Hryhorjeu,Q13134219,1996-01-09,2001-01-09,male,1941-04-05,2011-08-17,,
Belarus,member of the Supreme Soviet of Belarus,Mieczysłau Hiruć,Q13564788,1996-01-09,2001-01-09,male,1936-05-11,,,
Belarus,member of the Supreme Soviet of Belarus,Vyacheslav Kebich,Q1361912,1996-01-09,2001-01-09,male,1936-06-10,2020-12-09,Вячеслав Францевич Кебич.jpg,Vyacheslav Kebich
Belarus,member of the Supreme Soviet of Belarus,Mikalai Kutsko,Q14336753,1996-01-09,2001-01-09,male,1954-10-05,,,
Belarus,member of the Supreme Soviet of Belarus,Leanid Rachkou,Q14917058,1996-01-09,2000-01-09,male,1946-03-29,,,
Belarus,member of the Supreme Soviet of Belarus,Anatoly Malakhouski,Q14918307,1996-01-09,2001-01-09,male,1945-01-01,,,
Belarus,member of the Supreme Soviet of Belarus,Vasil Lukyanovich,Q15070629,1996-01-09,2001-01-09,male,1950-01-17,,,
Belarus,member of the Supreme Soviet of Belarus,Uladzimir Aleksandrovich,Q15978960,1996-01-09,2001-01-09,male,1957-02-15,,,
Belarus,member of the Supreme Soviet of Belarus,Henadz Alyakseenka,Q16547619,1996-01-09,2001-01-09,male,1952-05-30,,,
Belarus,member of the Supreme Soviet of Belarus,Raman Ananyeu,Q16603015,1996-01-09,2001-01-09,male,1964-04-19,,,
Belarus,member of the Supreme Soviet of Belarus,Alyaksandr Azarchankau,Q17181577,1996-01-09,2001-01-09,male,1944-04-17,,,
Belarus,member of the Supreme Soviet of Belarus,Yuryi Astapchanka,Q17189397,1996-01-09,2001-01-09,male,1945-06-18,,,
Belarus,member of the Supreme Soviet of Belarus,Ihar Anushkin,Q17254804,1996-01-09,2001-01-09,male,1944-10-03,,,
Belarus,member of the Supreme Soviet of Belarus,Mikhail Anikeeu,Q17324802,1996-01-09,2001-01-09,male,1949-05-23,,,
Belarus,member of the Supreme Soviet of Belarus,Mikhail Ban',Q18233115,1996-01-09,2001-01-09,male,1950-10-01,,,
Belarus,member of the Supreme Soviet of Belarus,Alyaksandr Apalonik,Q18324688,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Barys Bikinin,Q18325097,1996-01-09,2001-01-09,male,1947-03-08,,,
Belarus,member of the Supreme Soviet of Belarus,Valeryi Novak,Q18325098,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Mikalay Karpievich,Q18325099,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Ryhor Prakapovich,Q18325100,1996-01-09,,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Valyantsina Samuseva,Q18398029,1996-01-09,2000-01-09,female,,,,
Belarus,member of the Supreme Soviet of Belarus,Ruslan Ihnatsishchau,Q18398031,1996-01-09,2001-01-09,male,1939-04-25,,,
Belarus,member of the Supreme Soviet of Belarus,Henadziy Mirhalouski,Q18398046,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Alyaksandr Dubko,Q18420962,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Alyaksandr Dudko,Q18420963,1996-01-09,2001-01-09,male,1958-10-03,,,
Belarus,member of the Supreme Soviet of Belarus,Alaksandr Kapshai,Q18420965,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Alyaksandr Valakhanovich,Q18420967,1996-01-09,2000-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Alaksiej Kamaj,Q18420970,1996-01-09,2001-01-09,male,1936-04-01,,,
Belarus,member of the Supreme Soviet of Belarus,Aleh Lapkouski,Q18420972,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Alena Skryhan,Q18421006,1996-01-09,2000-01-09,female,1947-01-02,,,
Belarus,member of the Supreme Soviet of Belarus,Anatol Babkow,Q18421083,1996-01-09,2001-01-09,male,1947-09-10,,,
Belarus,member of the Supreme Soviet of Belarus,Anatoly Kuzma,Q18421086,1996-01-09,2001-01-09,male,1940-02-03,,,
Belarus,member of the Supreme Soviet of Belarus,Alyaksandr Bukhvostau,Q18423150,1996-01-09,2001-01-09,male,1944-11-22,,,
Belarus,member of the Supreme Soviet of Belarus,Fyodar Ruskevich,Q18424688,1996-01-09,2000-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Ihar Katlarou,Q18425440,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Iwan Hukau,Q18425584,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Iwan Kanaszuk,Q18425587,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Ivan Kireyeu,Q18425589,1996-01-09,2001-01-09,male,,,,
Belarus,member of the Supreme Soviet of Belarus,Ivan Litvin,Q18425593,1996-01-09,2001-01-09,male,,,,
