catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Ireland,President,Michael D. Higgins,Q57276,2011-11-11,male,1941-04-18,,2022 Michael D. Higgins (51988246304) (cropped).jpg,Michael D. Higgins
Ireland,Taoiseach,Leo Varadkar,Q1728820,2022-12-17,male,1979-01-18,,Leo Varadkar TD (cropped).jpg,Leo Varadkar
Ireland,Tánaiste,Micheál Martin,Q920403,2022-12-17,male,1960-08-01,,Micheál Martin TD (cropped).jpg,Micheál Martin
Ireland,"Minister for Agriculture, Food and the Marine",Charlie McConalogue,Q5085220,2020-09-02,male,1977-10-04,,Charlie McConalogue 2011.jpg,Charlie McConalogue
Ireland,Minister for Children and Youth Affairs,Roderic O'Gorman,Q16980123,2020-06-27,male,1982-12-12,,Roderic O'Gorman.jpg,Roderic O'Gorman
Ireland,"Minister for Communications, Climate Action and Environment",Eamon Ryan,Q920195,2020-06-27,male,1963-07-28,,Eamon Ryan Green Party.jpg,Eamon Ryan
Ireland,Minister for Community and Rural Affairs,Heather Humphreys,Q5693903,2020-06-27,female,1963-05-14,,Heather Humphreys 2016.jpg,Heather Humphreys
Ireland,Minister for Defence,Micheál Martin,Q920403,2022-12-17,male,1960-08-01,,Micheál Martin TD (cropped).jpg,Micheál Martin
Ireland,Minister for Education and Skills,Norma Foley,Q84768900,2020-06-27,female,1970,,Norma Foley.jpeg,Norma Foley
Ireland,Minister for Finance,Michael McGrath,Q6832712,2022-12-17,male,1976-08-23,,Michael McGrath 2014.png,Michael McGrath (Irish politician)
Ireland,Minister for Foreign Affairs and Trade,Micheál Martin,Q920403,2022-12-17,male,1960-08-01,,Micheál Martin TD (cropped).jpg,Micheál Martin
Ireland,"Minister for Further and Higher Education, Research, Innovation and Science",Simon Harris,Q7518922,2020-06-27,male,1986-10-17,,Simon Harris (official portrait) 2020.jpg,Simon Harris (politician)
Ireland,Minister for Health,Stephen Donnelly,Q13157830,2020-06-27,male,1975-12-14,,Stephen Donnelly 2016.jpg,Stephen Donnelly
Ireland,"Minister for Housing, Planning and Local Government",Darragh O'Brien,Q1166562,2020-06,male,1974-07-08,,Darragh O'Brien.jpg,Darragh O'Brien
Ireland,"Minister for Jobs, Enterprise and Innovation",Simon Coveney,Q1670096,2022-12-17,male,1972-06-16,,Simon Coveney 2018.jpg,Simon Coveney
Ireland,Minister for Justice and Equality,Simon Harris,Q7518922,2022-12-17,male,1986-10-17,,Simon Harris (official portrait) 2020.jpg,Simon Harris (politician)
Ireland,Minister for Public Expenditure and Reform,Paschal Donohoe,Q1271675,2022-12-17,male,1974-09-19,,Paschal Donohoe TD.jpg,Paschal Donohoe
Ireland,"Minister for Social Protection, Community and Rural Development and the Islands",Heather Humphreys,Q5693903,2020-06-27,female,1963-05-14,,Heather Humphreys 2016.jpg,Heather Humphreys
Ireland,"Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media",Catherine Martin,Q22966979,2020-06,female,1972-12-07,,Catherine Martin TD.jpg,Catherine Martin (politician)
Ireland,"Minister for Transport, Tourism and Sport",Eamon Ryan,Q920195,2020-06-27,male,1963-07-28,,Eamon Ryan Green Party.jpg,Eamon Ryan
Ireland,Minister without portfolio,Helen McEntee,Q8939886,2022-11-25,female,1986-06-08,,2018 Helen McEntee (39947643565) (cropped).jpg,Helen McEntee
Ireland,Minister of State at the Department of Defence,Jack Chambers,Q23006318,2020-11-17,male,1990-11-21,,Jack Chambers.jpg,Jack Chambers (politician)
Ireland,Minister of State at the Department of Education,Josepha Madigan,Q23006324,2020-07-01,female,1970-05-21,,Josepha Madigan.jpg,Josepha Madigan
Ireland,Minister of State at the Department of the Taoiseach,Jack Chambers,Q23006318,2020-07-15,male,1990-11-21,,Jack Chambers.jpg,Jack Chambers (politician)
Ireland,"Minister of State at the Department of Enterprise, Trade and Employment",Damien English,Q3777896,2020-07-01,male,1978-02-21,,Damien English 2015.jpg,Damien English
Ireland,Minister of State for Rural Economic Development and Rural Transport,Ann Phelan,Q4766625,2014-07,female,1961-09-16,,Ann Phelan 2013.jpg,Ann Phelan
Ireland,Minister of State for Tourism and Sport,Patrick O'Donovan,Q7147378,2016-05-19,male,1977-03-21,,Patrick O'Donovan - 2018.jpg,Patrick O'Donovan
Ireland,Minister of State with responsibility for Sport and the Gaeltacht,Jack Chambers,Q23006318,2020-07-15,male,1990-11-21,,Jack Chambers.jpg,Jack Chambers (politician)
Ireland,Cathaoirleach,Jerry Buttimer,Q6183343,2022-12-16,male,1967-03-18,,Jerry Buttimer 2014.jpg,Jerry Buttimer
Ireland,Leas-Cathaoirleach,Mark Daly,Q1900009,2022-12-16,male,1973-03-12,,Зустріч Президента України з головами обох палат парламенту Ірландії 11.jpg,Mark Daly (politician)
Ireland,Ceann Comhairle,Seán Ó Fearghaíl,Q7459627,2016-03-10,male,1960-04-17,,Seán Ó Fearghaíl 2016.jpg,Seán Ó Fearghaíl
Ireland,Leas-Cheann Comhairle,Catherine Connolly,Q5052598,2020-07-23,female,1957-07-12,,Catherine Connolly.jpg,Catherine Connolly
Ireland,Leader of the Seanad,Regina Doherty,Q7308461,2020-06-29,female,1971-01-26,,"Regina Doherty, 2017.jpg",Regina Doherty
Ireland,Attorney General,Rossa Fanning,Q115743765,2022-12-17,male,,,,Rossa Fanning
Ireland,Chief Justice,Donal O'Donnell,Q5293884,2021-10-11,male,1958-04-10,,,Donal O'Donnell
Ireland,Governor of the Central Bank,Gabriel Makhlouf,Q75186229,2019-09-01,male,1960,,Gabriel Makhlouf.jpg,Gabriel Makhlouf
Ireland,Chief of Staff of the Defence Forces,Seán Clancy,Q109929699,2021-09-29,male,,,"Brigadier General Seán Clancy, GOC Air Corps.jpg",Seán Clancy (Irish general)
