catalog,id,name,relationship,relative,relativename
Ireland,Q1064368,Charles Flanagan,father,Q1347603,Oliver J. Flanagan
Ireland,Q1111220,David Andrews,child,Q3777503,Barry Andrews
Ireland,Q1111220,David Andrews,child,Q5237464,David McSavage
Ireland,Q1111220,David Andrews,father,Q7812247,Todd Andrews
Ireland,Q1111220,David Andrews,sibling,Q935787,Niall Andrews
Ireland,Q1165622,Dara Calleary,father,Q7459476,Seán Calleary
Ireland,Q1183377,Deirdre Clune,father,Q2073804,Peter Barry
Ireland,Q13157830,Stephen Donnelly,spouse,Q111495702,Susan Leavy
Ireland,Q1345787,Marc MacSharry,father,Q1388454,Ray MacSharry
Ireland,Q1369468,John Hanafin,father,Q5263460,Des Hanafin
Ireland,Q1405662,Gay Mitchell,sibling,Q1689168,Jim Mitchell
Ireland,Q1410728,Noel Ahern,sibling,Q154550,Bertie Ahern
Ireland,Q1410728,Noel Ahern,sibling,Q1911246,Maurice Ahern
Ireland,Q154550,Bertie Ahern,child,Q11971868,Georgina Byrne
Ireland,Q154550,Bertie Ahern,child,Q229403,Cecelia Ahern
Ireland,Q154550,Bertie Ahern,partner,Q5058005,Celia Larkin
Ireland,Q154550,Bertie Ahern,sibling,Q1410728,Noel Ahern
Ireland,Q154550,Bertie Ahern,sibling,Q1911246,Maurice Ahern
Ireland,Q154550,Bertie Ahern,spouse,Q112946912,Miriam Ahern
Ireland,Q15992782,Harry Blaney,father,Q6984061,Neal Blaney
Ireland,Q15992782,Harry Blaney,sibling,Q1727081,Neil Blaney
Ireland,Q1670096,Simon Coveney,father,Q1233610,Hugh Coveney
Ireland,Q1672642,Michael Ahern,father,Q6539473,Liam Ahern
Ireland,Q1680465,Michael Lowry,child,Q55083471,Micheál Lowry
Ireland,Q16980068,Gabrielle McFadden,sibling,Q13653269,Nicky McFadden
Ireland,Q1728820,Leo Varadkar,partner,Q30151227,Matthew Barrett
Ireland,Q174662,Mary McAleese,spouse,Q6776147,Martin McAleese
Ireland,Q1822660,Liam Aylward,father,Q4931697,Bob Aylward
Ireland,Q1822660,Liam Aylward,sibling,Q888438,Bobby Aylward
Ireland,Q1822676,Liam T. Cosgrave,father,Q381661,Liam Cosgrave
Ireland,Q185272,Brian Cowen,father,Q4893027,Bernard Cowen
Ireland,Q185272,Brian Cowen,sibling,Q4864133,Barry Cowen
Ireland,Q1911246,Maurice Ahern,sibling,Q1410728,Noel Ahern
Ireland,Q1911246,Maurice Ahern,sibling,Q154550,Bertie Ahern
Ireland,Q2149121,Richard Boyd Barrett,father,Q7931767,Vincent Dowling
Ireland,Q2149121,Richard Boyd Barrett,mother,Q224782,Sinéad Cusack
Ireland,Q22966979,Catherine Martin,sibling,Q96694712,Vincent P. Martin
Ireland,Q22966979,Catherine Martin,spouse,Q84771810,Francis Noel Duffy
Ireland,Q23006311,James Browne,father,Q3777488,John Browne
Ireland,Q23006320,Danny Healy-Rae,father,Q6116405,Jackie Healy-Rae
Ireland,Q23006320,Danny Healy-Rae,sibling,Q6831036,Michael Healy-Rae
Ireland,Q23006327,Aindrias Moynihan,father,Q5293879,Donal Moynihan
Ireland,Q23006333,Jim O'Callaghan,sibling,Q6873393,Miriam O'Callaghan
Ireland,Q23006335,Kevin O'Keeffe,father,Q16106036,Ned O'Keeffe
Ireland,Q24006725,Lynn Ruane,child,Q64829644,Jordanne Jones
Ireland,Q24049120,Alice Mary Higgins,father,Q57276,Michael D. Higgins
Ireland,Q24049120,Alice Mary Higgins,mother,Q23727205,Sabina Higgins
Ireland,Q24196930,Catherine Ardagh,father,Q7459463,Seán Ardagh
Ireland,Q2439786,Tom Kitt,father,Q6830171,Michael F. Kitt
Ireland,Q2439786,Tom Kitt,sibling,Q249955,Áine Brady
Ireland,Q2439786,Tom Kitt,sibling,Q631505,Michael P. Kitt
Ireland,Q249955,Áine Brady,father,Q6830171,Michael F. Kitt
Ireland,Q249955,Áine Brady,sibling,Q2439786,Tom Kitt
Ireland,Q249955,Áine Brady,sibling,Q631505,Michael P. Kitt
Ireland,Q249955,Áine Brady,spouse,Q5552659,Gerry Brady
Ireland,Q25184305,Joan Freeman,sibling,Q58480707,Theresa Lowe
Ireland,Q273274,Éamon Ó Cuív,father,Q4965729,Brian Ó Cuív
Ireland,Q273274,Éamon Ó Cuív,mother,Q65512592,Emer de Valera
Ireland,Q278178,Seán Haughey,father,Q333735,Charles Haughey
Ireland,Q278178,Seán Haughey,mother,Q6792688,Maureen Haughey
Ireland,Q3080811,Frances Black,child,Q93266598,Aoife Scott
Ireland,Q3080811,Frances Black,child,Q93267128,Eoghan Scott
Ireland,Q3080811,Frances Black,relative,Q7386529,Róisín O
Ireland,Q3080811,Frances Black,relative,Q93268035,Danny O'Reilly
Ireland,Q3080811,Frances Black,sibling,Q262746,Mary Black
Ireland,Q333701,John Bruton,sibling,Q981847,Richard Bruton
Ireland,Q356460,Dick Spring,father,Q5214427,Dan Spring
Ireland,Q3777488,John Browne,relative,Q7459466,Seán Browne
Ireland,Q3777503,Barry Andrews,father,Q1111220,David Andrews
Ireland,Q3777503,Barry Andrews,sibling,Q5237464,David McSavage
Ireland,Q3777521,Billy Timmins,father,Q5576562,Godfrey Timmins
Ireland,Q3777562,John Deasy,father,Q781061,Austin Deasy
Ireland,Q3777562,John Deasy,spouse,Q6792609,Maura Derrane
Ireland,Q380182,Albert Reynolds,child,Q26702996,Leonie Reynolds
Ireland,Q381658,Denis Naughten,father,Q1822671,Liam Naughten
Ireland,Q436181,Síle de Valera,father,Q65512591,Terry de Valera
Ireland,Q436181,Síle de Valera,mother,Q75887676,Phyllis Blake
Ireland,Q436181,Síle de Valera,relative,Q273274,Éamon Ó Cuív
Ireland,Q436181,Síle de Valera,relative,Q3778028,Vivion de Valera
Ireland,Q444705,Mary Coughlan,father,Q5052026,Cathal Coughlan
Ireland,Q467641,Mary Hanafin,father,Q5263460,Des Hanafin
Ireland,Q467641,Mary Hanafin,sibling,Q1369468,John Hanafin
Ireland,Q4687826,Aengus Ó Snodaigh,father,Q7264017,Pádraig Ó Snodaigh
Ireland,Q4687826,Aengus Ó Snodaigh,sibling,Q10967627,Rónán Ó Snodaigh
Ireland,Q4687826,Aengus Ó Snodaigh,sibling,Q16733899,Colm Ó Snodaigh
Ireland,Q4687826,Aengus Ó Snodaigh,sibling,Q99678192,Rossa Ó Snodaigh
Ireland,Q4696759,Aideen Hayden,spouse,Q5107630,Chris O'Malley
Ireland,Q4766503,Ann Leonard,father,Q16090527,Jimmy Leonard
Ireland,Q4864133,Barry Cowen,father,Q4893027,Bernard Cowen
Ireland,Q4864133,Barry Cowen,sibling,Q185272,Brian Cowen
Ireland,Q4960207,Breeda Moynihan-Cronin,father,Q15491096,Michael Moynihan
Ireland,Q4961087,Brendan Ryan,sibling,Q7459603,Seán Ryan
Ireland,Q5105734,Chris Andrews,father,Q935787,Niall Andrews
Ireland,Q5162247,Conor Lenihan,father,Q912542,Brian Lenihan Snr
Ireland,Q5162247,Conor Lenihan,relative,Q52325325,Feargal O'Rourke
Ireland,Q5162247,Conor Lenihan,sibling,Q912430,"Brian Lenihan, Jnr"
Ireland,Q5263460,Des Hanafin,child,Q1369468,John Hanafin
Ireland,Q5263460,Des Hanafin,child,Q467641,Mary Hanafin
Ireland,Q5293884,Donal O'Donnell,father,Q107598702,Turlough O'Donnell
Ireland,Q5381683,Eoghan Murphy,sibling,Q15242150,Killian Scott
Ireland,Q5381749,Eoin Ó Broin,spouse,Q16945605,Lynn Boylan
Ireland,Q540353,Mary Upton,sibling,Q2056588,Pat Upton
Ireland,Q540812,Frances Fitzgerald,spouse,Q677407,Michael Fitzgerald
Ireland,Q540847,Mary O'Rourke,child,Q52325325,Feargal O'Rourke
Ireland,Q540847,Mary O'Rourke,father,Q7147003,Patrick Lenihan
Ireland,Q540847,Mary O'Rourke,sibling,Q912542,Brian Lenihan Snr
Ireland,Q5446263,Fiach Mac Conghail,father,Q6933252,Muiris Mac Conghail
Ireland,Q57276,Michael D. Higgins,spouse,Q23727205,Sabina Higgins
Ireland,Q57815,Enda Kenny,father,Q1606945,Henry Kenny
Ireland,Q57815,Enda Kenny,relative,Q1381218,Seán Kelly
Ireland,Q57815,Enda Kenny,spouse,Q23015007,Fionnuala Kenny
Ireland,Q58008928,Bobby McDonagh,father,Q58894950,Bob McDonagh
Ireland,Q58008928,Bobby McDonagh,sibling,Q4275624,Philip McDonagh
Ireland,Q6116405,Jackie Healy-Rae,child,Q23006320,Danny Healy-Rae
Ireland,Q6116405,Jackie Healy-Rae,child,Q6831036,Michael Healy-Rae
