catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Sri Lanka,President,Chandrika Kumaratunga,Q207432,1994-11-12,2005-11-19,female,1945-06-29,,Chandrika Kumaratunga.jpg,Chandrika Kumaratunga
Sri Lanka,President,Mahinda Rajapaksa,Q57338,2005-11-19,2015-01-09,male,1945-11-18,,Mahinda Rajapaksa 1.jpg,Mahinda Rajapaksa
Sri Lanka,President,Maithripala Sirisena,Q6737124,2015-01-09,2019-11-18,male,1951-09-03,,Maithripala Sirisena (cropped).jpg,Maithripala Sirisena
Sri Lanka,President,Gotabaya Rajapaksa,Q1538702,2019-11-18,,male,1949-06-20,,Готабая Раджапакса (29-11-2019).jpg,Gotabaya Rajapaksa
Sri Lanka,Prime Minister,Sirimavo Bandaranaike,Q194291,1994-11-14,2000-08-10,female,1916-04-17,2000-10-10,Sirimavo Ratwatte Dias Bandaranayaka (1916-2000) (Hon.Sirimavo Bandaranaike with Hon.Lalith Athulathmudali Crop).jpg,Sirimavo Bandaranaike
Sri Lanka,Prime Minister,Ratnasiri Wickremanayake,Q314009,2000-08-10,2001-12-09,male,1933-05-05,2016-12-27,Ratnasiri Wickremanayake1.jpg,Ratnasiri Wickremanayake
Sri Lanka,Prime Minister,Ranil Wickremesinghe,Q983402,2001-12-09,2004-04-06,male,1949-03-24,,"Prime Minister of the Democratic Socialist Republic of Sri Lanka, Mr. Ranil Wickremesinghe, at Hyderabad House, in New Delhi on November 23, 2017.jpg",Ranil Wickremesinghe
Sri Lanka,Prime Minister,Mahinda Rajapaksa,Q57338,2004-04-06,2005-11-19,male,1945-11-18,,Mahinda Rajapaksa 1.jpg,Mahinda Rajapaksa
Sri Lanka,Prime Minister,Ratnasiri Wickremanayake,Q314009,2005-11-19,2010-04-21,male,1933-05-05,2016-12-27,Ratnasiri Wickremanayake1.jpg,Ratnasiri Wickremanayake
Sri Lanka,Prime Minister,D. M. Jayaratne,Q559898,2010-04-21,2015-01-09,male,1931-06-07,2019-11-19,Nimal Korale PM- cropped.jpg,D. M. Jayaratne
