catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Austria,President,Thomas Klestil,Q78490,1992-07-08,2004-07-06,male,1932-11-04,2004-07-06,Thomas Klestil 1.jpg,Thomas Klestil
Austria,President,Heinz Fischer,Q11753,2004-07-08,2016-07-08,male,1938-10-09,,Heinz Fischer 2012 (cropped).jpg,Heinz Fischer
Austria,President,Alexander Van der Bellen,Q78869,2017-01-26,,male,1944-01-18,,Alexander Van der Bellen (13-07-2021) (cropped).jpg,Alexander Van der Bellen
Austria,Federal Chancellor,Viktor Klima,Q78538,1997-01-28,2000-02-04,male,1947-06-04,,Bundeskanzler Viktor Klima.JPG,Viktor Klima
Austria,Federal Chancellor,Wolfgang Schüssel,Q2125645,2000-02-04,2007-01-11,male,1945-06-07,,W Schuessel7.jpg,Wolfgang Schüssel
Austria,Federal Chancellor,Alfred Gusenbauer,Q260037,2007-01-11,2008-12-02,male,1960-02-08,,Alfred Gusenbauer 26.10.2008.jpg,Alfred Gusenbauer
Austria,Federal Chancellor,Werner Faymann,Q53282,2008-12-02,2016-05-09,male,1960-05-04,,Werner Faymann Wien08-2008a.jpg,Werner Faymann
Austria,Federal Chancellor,Reinhold Mitterlehner,Q89601,2016-05-09,2016-05-17,male,1955-12-10,,Reinhold Mitterlehner - Buchmesse Wien 2019.JPG,Reinhold Mitterlehner
Austria,Federal Chancellor,Christian Kern,Q18135060,2016-05-17,2017-12-18,male,1966-01-04,,Christian Kern 2016 (portrait).jpg,Christian Kern
Austria,Federal Chancellor,Sebastian Kurz,Q2262885,2017-12-18,2019-05-28,male,1986-08-27,,Sebastian Kurz (2018-02-28) 07 (cropped).jpg,Sebastian Kurz
Austria,Federal Chancellor,Hartwig Löger,Q45808771,2019-05-28,2019-06-03,male,1965-07-15,,2017 Finanzminister Hartwig Löger (39136614571) (cropped).jpg,Hartwig Löger
Austria,Federal Chancellor,Brigitte Bierlein,Q916162,2019-06-03,2020-01-07,female,1949-06-25,,Europaforum Wachau-2019 1239 (cropped).JPG,Brigitte Bierlein
Austria,Federal Chancellor,Sebastian Kurz,Q2262885,2020-01-07,2021-10-11,male,1986-08-27,,Sebastian Kurz (2018-02-28) 07 (cropped).jpg,Sebastian Kurz
Austria,Federal Chancellor,Alexander Schallenberg,Q64168538,2021-10-11,2021-12-06,male,1969-06-20,,Alexander Schallenberg (51029203647).jpg,Alexander Schallenberg
Austria,Federal Chancellor,Karl Nehammer,Q42860944,2021-12-06,,male,1972-10-18,,2020 Karl Nehammer Ministerrat am 8.1.2020 (49351572787) (cropped).jpg,Karl Nehammer
Austria,Vice-Chancellor,Wolfgang Schüssel,Q2125645,1995-05-04,2000-02-04,male,1945-06-07,,W Schuessel7.jpg,Wolfgang Schüssel
Austria,Vice-Chancellor,Susanne Riess,Q78904,2000-02-04,2003-02-04,female,1961-01-03,,Susanne Riess-Passer Nacht des Sports 2008.jpg,Susanne Riess
Austria,Vice-Chancellor,Hubert Gorbach,Q85406,2003-10-21,2007-01-11,male,1956-07-27,,Gorbach Hubert 20050826 Lb Feier (052).JPG,Hubert Gorbach
Austria,Vice-Chancellor,Josef Pröll,Q78806,2008-12-02,2011-04-20,male,1968-09-14,,Josef Proell.jpg,Josef Pröll
Austria,Vice-Chancellor,Michael Spindelegger,Q11735,2011-04-21,2013-12-16,male,1959-12-21,,HBM Spindelegger1.jpg,Michael Spindelegger
Austria,Vice-Chancellor,Michael Spindelegger,Q11735,2013-12-16,2014-09-01,male,1959-12-21,,HBM Spindelegger1.jpg,Michael Spindelegger
Austria,Vice-Chancellor,Reinhold Mitterlehner,Q89601,2014-09-01,2017-05-17,male,1955-12-10,,Reinhold Mitterlehner - Buchmesse Wien 2019.JPG,Reinhold Mitterlehner
Austria,Vice-Chancellor,Wolfgang Brandstetter,Q15428609,2017-05-17,2017-12-18,male,1957-10-07,,Wolfgang Brandstetter VfGH.jpg,Wolfgang Brandstetter
Austria,Vice-Chancellor,Heinz-Christian Strache,Q44733,2017-12-18,2019-05-18,male,1969-06-12,,Heinz-Christian Strache - DAÖ-Aschermittwochtreffen 2020.JPG,Heinz-Christian Strache
