catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
United Arab Emirates,President,Zayed bin Sultan Al Nahyan,Q167846,1971-12-02,2004-11-02,male,1918-05-06,2004-11-02,Zayed bin Al Nahayan.jpg,Zayed bin Sultan Al Nahyan
United Arab Emirates,President,Maktoum bin Rashid Al Maktoum,Q215477,2004-11-02,2004-11-03,male,1943-08-15,2006-01-04,Maktoum bin Rashid Al Maktoum.jpg,Maktoum bin Rashid Al Maktoum
United Arab Emirates,President,Khalifa bin Zayed Al Nahyan,Q1059948,2004-11-03,2022-05-13,male,1948-09-07,2022-05-13,Sheikh Khalifa.jpg,Khalifa bin Zayed Al Nahyan
United Arab Emirates,President,Mohammed bin Rashid Al Maktoum,Q57655,2022-05-13,2022-05-14,male,1949-07-15,,Mohamedu bin Rašidu Almaktūmu.jpg,Mohammed bin Rashid Al Maktoum
United Arab Emirates,President,Mohammed bin Zayed Al Nahyan,Q1951896,2022-05-14,,male,1961-03-11,,Mohammed bin Zayed Al Nahyan - 2021 (51683733605) (cropped).jpg,Mohamed bin Zayed Al Nahyan
United Arab Emirates,Vice President,Mohammed bin Rashid Al Maktoum,Q57655,2006-01-05,,male,1949-07-15,,Mohamedu bin Rašidu Almaktūmu.jpg,Mohammed bin Rashid Al Maktoum
United Arab Emirates,Prime Minister,Maktoum bin Rashid Al Maktoum,Q215477,1990-10-07,2006-01-04,male,1943-08-15,2006-01-04,Maktoum bin Rashid Al Maktoum.jpg,Maktoum bin Rashid Al Maktoum
United Arab Emirates,Prime Minister,Mohammed bin Rashid Al Maktoum,Q57655,2006-02-11,,male,1949-07-15,,Mohamedu bin Rašidu Almaktūmu.jpg,Mohammed bin Rashid Al Maktoum
United Arab Emirates,Deputy Prime Minister,Mansour bin Zayed Al Nahyan,Q556607,2009-05-10,,male,1970-11-20,,Sheikh Mansour shaking the hand of Michael Spindelegger (crop).jpg,Mansour bin Zayed Al Nahyan
United Arab Emirates,Deputy Prime Minister,Saif bin Zayed Al Nahyan,Q7400024,2009-05-10,,male,1968,,Saif bin Zayed Al Nahyan.jpg,Saif bin Zayed Al Nahyan
United Arab Emirates,Deputy Prime Minister,Maktoum bin Mohammed Bin Rashid Al Maktoum,Q12244819,2021-09-25,,male,1982-11-13,,Sheikh Maktoum.jpg,Maktoum bin Mohammed Al Maktoum
United Arab Emirates,Minister of Cabinet Affairs,Mohammad Abdullah Al Gergawi,Q6892939,2006-02-09,,male,1963,,Mohammad Al Gergawi.jpg,Mohammad Al Gergawi
United Arab Emirates,Minister of Climate Change and Environment,Thani Ahmed Alzeyoudi,Q24259941,2016-02,2020-07-05,male,,,,Thani bin Ahmed Al Zeyoudi
United Arab Emirates,Minister of Climate Change and Environment,Mariam Almheiri,Q62675861,2021-09-25,,female,1979,,Mariam Al-Muhairi.jpg,Mariam Almheiri
United Arab Emirates,Minister of Community Development,Hessa Essa Buhumaid,Q113379910,2017-10,,,,,,
United Arab Emirates,Minister of Culture and Knowledge Development,Noura Al Kaabi,Q16733485,2017-10-20,2020-07-04,female,1979-03-18,,نورة الكعبي.jpg,Noura Al Kaabi
United Arab Emirates,Minister of Culture and Youth,Noura Al Kaabi,Q16733485,2020-07-05,,female,1979-03-18,,نورة الكعبي.jpg,Noura Al Kaabi
United Arab Emirates,Minister of Defence,Mohammed bin Rashid Al Maktoum,Q57655,1971-12-09,,male,1949-07-15,,Mohamedu bin Rašidu Almaktūmu.jpg,Mohammed bin Rashid Al Maktoum
United Arab Emirates,Minister of Economy,Abdulla bin Touq Al Marri,Q106049108,2020-07,,male,1982,,Abdullah Bin Touq (2021) (cropped).jpg,Abdulla bin Touq Al Marri
United Arab Emirates,Minister of Education,Ahmad Belhoul Al Falasi,Q107596056,2022-05-22,,male,,,,Ahmad Belhoul Al Falasi
United Arab Emirates,Minister of Energy and Infrastructure,Suhail Al Mazroui,Q16120606,2013-03-12,,male,1973,,Suhail Al Mazroui - OPEC International Seminar - Vienna - 2018 (29048040508) (cropped).jpg,Suhail Al Mazroui
United Arab Emirates,Minister of Federal Supreme Council Affairs,Abdullah Muhair Al Ketbi,Q113380134,2021-09-25,,,,,,
United Arab Emirates,Minister of Finance,Hamdan bin Rashid Al Maktoum,Q712839,1971-12-09,2021-03-24,male,1945-12-25,2021-03-24,Sheikh Hamdan bin Rashid Al Maktoum.jpg,Hamdan bin Rashid Al Maktoum
United Arab Emirates,Minister of Finance,Maktoum bin Mohammed Bin Rashid Al Maktoum,Q12244819,2021-09-25,,male,1982-11-13,,Sheikh Maktoum.jpg,Maktoum bin Mohammed Al Maktoum
United Arab Emirates,Minister of Foreign Affairs,Abdullah bin Zayed Al Nahyan,Q58301,2006-02-09,,male,1972-04-30,,Abdullah bin Zayed Al Nahyan in London - 2018 (29653209427) (cropped).jpg,Abdullah bin Zayed Al Nahyan
United Arab Emirates,Minister of Health,Abdul Rahman Mohammed Al Oweis,Q20740526,2013-03-12,,male,1967,,AbdulRahman Bin Mohamed Al Owais.jpg,Abdul Rahman Mohammed Al Owais
