catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Marshall Islands,President,David Kabua,Q20658229,2020-01-13,male,1951,,"David Kabua, 2021.jpg",David Kabua
Marshall Islands,Minister in Assistance to the President,Christopher Loeak,Q12911,2020-01-13,male,1952-11-11,,Christopher Loeak portrait.PNG,Christopher Loeak
Marshall Islands,Minister of Education,Kitlang Kabua,Q101054208,2020-01-13,female,1991-06-26,,,Kitlang Kabua
Marshall Islands,Minister of Finance,Brenson Wase,Q110030889,2021-10-15,male,,,,
Marshall Islands,Minister of Foreign Affairs,Casten Nemra,Q21968142,2020-01-13,male,1971-07-29,,Casten Nemra.jpg,Casten Nemra
Marshall Islands,Minister of Health,Bruce Bilimon,Q109867463,2020-01-13,male,,,Bruce Bilimon Health Minister of the Marshall Islands (51666533397) (at COP26).jpg,
Marshall Islands,Minister of Internal Affairs,Jemi Nashion,Q110030514,2020-01-13,male,,,,
Marshall Islands,Minister of Justice,Kessai Note,Q12914,2020-01-13,male,1950-08-07,,Kessai Note 2005.jpg,Kessai Note
Marshall Islands,Minister of Natural Resources and Commerce,John Silk,Q1637473,2021-11-02,male,1956-09-15,,2019-09-27 John M. Silk.jpg,
Marshall Islands,Minister of Public Works,Jiba B. Kabua,Q110030533,2020-01-13,male,,,,
Marshall Islands,Minister of Transportation & Communication,Donald Capelle,Q94977219,2020-01-13,male,,,,Donald Capelle
Marshall Islands,Speaker of the Nitijela,Kenneth Kedi,Q23416906,2016-01-04,male,1971,,Kenneth Kedi 20171031.jpg,Kenneth Kedi
