position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Zuzana Čaputová,Q26273268,2019-06-15,female,1973-06-21,,Zuzana Čaputová (20.6.2019) VIII.jpg,Zuzana Čaputová
Prime Minister,Eduard Heger,Q46227987,2021-04-01,male,1976-05-03,,Eduard Heger opening a school 02.jpg,Eduard Heger
Deputy Prime Minister,Igor Matovič,Q552706,2021-04-01,male,1973-05-11,,Igor Matovič October 2020 (cropped).jpg,Igor Matovič
Deputy Prime Minister,Štefan Holý,Q88299018,2021-04-01,male,1978-12-11,,,
Deputy Prime Minister,Richard Sulík,Q586798,2021-04-01,male,1968-01-12,,Richard Sulík -2011-.jpg,Richard Sulík
Deputy Prime Minister for Investments and Informatization,Veronika Remišová,Q26837632,2021-04-01,female,1976-05-31,,"Visit of Veronika Rémišová, Slovak Deputy Prime Minister and Minister for Investments, Regional development and Informatization, to the European Commission 02 (18-11-2021) (cropped).jpg",Veronika Remišová
Minister of Agriculture and Rural Development,Samuel Vlčan,Q107154992,2021-06-08,male,1971-03-13,,,
Minister of Culture,Natália Milanová,Q61748113,2021-04-01,female,1982-06-12,,,Natália Milanová
Minister of Defense,Jaroslav Naď,Q86755007,2020-03-21,male,1981-03-21,,Jaroslav Naď.png,Jaroslav Naď
Minister of Economy,Richard Sulík,Q586798,2021-04-01,male,1968-01-12,,Richard Sulík -2011-.jpg,Richard Sulík
"Minister of Education, Science, Research and Sport",Branislav Gröhling,Q60777536,2020-03-21,male,1974-04-06,,Branislav-Grohling-minister-skolstva (cropped).jpg,
Minister of Environment,Ján Budaj,Q12027325,2021-04-01,male,1952-02-10,,Ján Budaj.jpg,Ján Budaj
Minister of Finance,Igor Matovič,Q552706,2021-04-01,male,1973-05-11,,Igor Matovič October 2020 (cropped).jpg,Igor Matovič
Minister of Foreign and European Affairs,Ivan Korčok,Q3156132,2021-04-01,male,1964-04-04,,Ivan Korčok - July 2016 (cropped).jpg,Ivan Korčok
Minister of Health,Vladimír Lengvarský,Q85421835,2021-04-01,male,1969-08-18,,,Vladimír Lengvarský
Minister of Interior,Roman Mikulec,Q88188383,2020-03-21,male,1972-03-18,,,Roman Mikulec
Minister of Justice,Mária Kolíková,Q56823084,2021-04-01,female,1974-08-29,,,Mária Kolíková
"Minister of Labor, Social Affairs and Family",Milan Krajniak,Q54991677,2021-04-01,male,1973-01-30,,MilanKrajniakWikifoto.jpg,Milan Krajniak
Minister of Transport and Construction,Andrej Doležal,Q88298109,2020-03-21,male,1981-03-23,,,Andrej Doležal
Speaker of the National Council,Boris Kollár,Q23022210,2020-03-20,male,1965-08-14,,Boris Kollár (cropped).jpg,Boris Kollár
Chief of the General Staff,Daniel Zmeko,Q52110606,2018-05-07,male,1967-11-24,,,Daniel Zmeko
Governor of the National Bank,Peter Kažimír,Q552534,2019-06-01,male,1968-06-28,,Peter Kažimír (36400657164) crop.jpg,Peter Kažimír
Mayor of Bratislava,Matúš Vallo,Q12771236,2018-12-07,male,1977-09-18,,Matúš Vallo. 2017.jpg,Matúš Vallo
