catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Faroe Islands,Prime Minister,Anfinn Kallsberg,Q529900,1998,2004,male,1947-11-19,,Anfinn Kallsberg.jpg,Anfinn Kallsberg
Faroe Islands,Prime Minister,Jóannes Eidesgaard,Q331931,2004-02-03,2008-09-26,male,1951-04-19,,Joannes Eidesgaard in Gjogv.jpg,Jóannes Eidesgaard
Faroe Islands,Prime Minister,Kaj Leo Johannesen,Q331786,2008-09-24,2015-09-15,male,1964-08-28,,KajLeoJohannesen crop.jpg,Kaj Leo Johannesen
Faroe Islands,Prime Minister,Aksel V. Johannesen,Q556712,2015-09-15,2019-09-16,male,1972-11-08,,Aksel V Johannesen 2015.JPG,Aksel V. Johannesen
Faroe Islands,Prime Minister,Bárður á Steig Nielsen,Q853551,2019-09-16,2022-12-22,male,1972-04-16,,20211103 Bárður Nielsen.jpg,Bárður á Steig Nielsen
Faroe Islands,Prime Minister,Aksel V. Johannesen,Q556712,2022-12-22,,male,1972-11-08,,Aksel V Johannesen 2015.JPG,Aksel V. Johannesen
Faroe Islands,Deputy Prime Minister,Høgni Hoydal,Q567780,1998-05-15,2003-12-05,male,1966-03-28,,Hogni hoydal.jpg,Høgni Hoydal
Faroe Islands,Deputy Prime Minister,Høgni Hoydal,Q567780,2008-02-05,2008-09-15,male,1966-03-28,,Hogni hoydal.jpg,Høgni Hoydal
Faroe Islands,Deputy Prime Minister,Jørgen Niclasen,Q903946,2008-09-26,2011-01-19,male,1969-01-17,,Jorgen Niclasen (2).jpg,Jørgen Niclasen
Faroe Islands,Deputy Prime Minister,Annika Olsen,Q754857,2011-11-14,2015-09-15,female,1975-03-13,,Annika Olsen.jpg,Annika Olsen
Faroe Islands,Deputy Prime Minister,Høgni Hoydal,Q567780,2015-09-15,2019-09-16,male,1966-03-28,,Hogni hoydal.jpg,Høgni Hoydal
Faroe Islands,Deputy Prime Minister,Jørgen Niclasen,Q903946,2019-09-16,2022-02,male,1969-01-17,,Jorgen Niclasen (2).jpg,Jørgen Niclasen
Faroe Islands,Deputy Prime Minister,Uni Rasmussen,Q67080693,2022-02-23,2022-12-22,male,1968-09-17,,,
Faroe Islands,Deputy Prime Minister,Høgni Hoydal,Q567780,2022-12-22,,male,1966-03-28,,Hogni hoydal.jpg,Høgni Hoydal
Faroe Islands,Minister of Culture,Jógvan á Lakjuni,Q932304,2004-02-03,2008-02-04,male,1952-11-13,,Jogvan a Lakjuni 2.jpeg,Jógvan á Lakjuni
Faroe Islands,Minister of Culture,Kristina Háfoss,Q466349,2008-02-04,2008-08-30,female,1975-06-26,,Kristina Háfoss 2012.jpg,Kristina Háfoss
Faroe Islands,Minister of Culture,Sirið Stenberg,Q12000640,2022-12-22,,female,1968-05-26,,Sirid Stenberg 2014.JPG,Sirið Stenberg
Faroe Islands,Minister of Education,Djóni Nolsøe Joensen,Q21075007,2022-12-22,,male,1972-08-21,,,
Faroe Islands,Minister of Environment,Ingilín Didriksen Strøm,Q67077020,2022-12-22,,female,1991-08-22,,,
Faroe Islands,Minister of Finance,Karsten Hansen,Q657419,1998,2003,male,1944-08-18,,Karsten Hansen 2012.JPG,Karsten Hansen
Faroe Islands,Minister of Finance,Bárður á Steig Nielsen,Q853551,2004-02-03,2007-05-09,male,1972-04-16,,20211103 Bárður Nielsen.jpg,Bárður á Steig Nielsen
Faroe Islands,Minister of Finance,Magni Laksáfoss,Q782053,2007,2008,male,1969-12-03,,Magni Laksáfoss 2015.JPG,
Faroe Islands,Minister of Finance,Jóannes Eidesgaard,Q331931,2008,2011,male,1951-04-19,,Joannes Eidesgaard in Gjogv.jpg,Jóannes Eidesgaard
Faroe Islands,Minister of Finance,Karsten Hansen,Q657419,2008-02-04,2008-09-26,male,1944-08-18,,Karsten Hansen 2012.JPG,Karsten Hansen
Faroe Islands,Minister of Finance,Aksel V. Johannesen,Q556712,2011-02-21,2011-11-14,male,1972-11-08,,Aksel V Johannesen 2015.JPG,Aksel V. Johannesen
Faroe Islands,Minister of Finance,Jørgen Niclasen,Q903946,2011-11-14,2015-09-15,male,1969-01-17,,Jorgen Niclasen (2).jpg,Jørgen Niclasen
Faroe Islands,Minister of Finance,Kristina Háfoss,Q466349,2015-09-15,2019-09-16,female,1975-06-26,,Kristina Háfoss 2012.jpg,Kristina Háfoss
Faroe Islands,Minister of Finance,Jørgen Niclasen,Q903946,2019-09-16,2022-02,male,1969-01-17,,Jorgen Niclasen (2).jpg,Jørgen Niclasen
Faroe Islands,Minister of Finance,Uni Rasmussen,Q67080693,2022-02-23,2022-12-22,male,1968-09-17,,,
Faroe Islands,Minister of Finance,Ruth Vang,Q21208486,2022-12-22,,female,1966-04-05,,,
Faroe Islands,Minister of Health,Páll á Reynatúgvu,Q754851,2002,2004,male,1967-07-26,,Páll á Reynatúgvu 2012.jpg,Páll á Reynatúgvu
Faroe Islands,Minister of Health,Aksel V. Johannesen,Q556712,2009-07-16,2011-02-21,male,1972-11-08,,Aksel V Johannesen 2015.JPG,Aksel V. Johannesen
Faroe Islands,Minister of Health,Sirið Stenberg,Q12000640,2015-09-15,2019-09-16,female,1968-05-26,,Sirid Stenberg 2014.JPG,Sirið Stenberg
Faroe Islands,Minister of Health,Kaj Leo Johannesen,Q331786,2019-09-16,2022-12-22,male,1964-08-28,,KajLeoJohannesen crop.jpg,Kaj Leo Johannesen
Faroe Islands,Minister of Health,Margit Stórá,Q115820081,2022-12-22,,female,1971-01-06,,,
Faroe Islands,Minister of Fisheries,Jørgen Niclasen,Q903946,1998-12-14,2003-01-04,male,1969-01-17,,Jorgen Niclasen (2).jpg,Jørgen Niclasen
Faroe Islands,Minister of Fisheries,Jacob Vestergaard,Q730980,2003-02-17,2004-02-03,male,1961-04-07,,Jacob Vestergaard 2015.JPG,Jacob Vestergaard
