catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Honduras,President,Carlos Roberto Flores,Q654177,1998-01-27,2002-01-27,male,1950-03-10,,Carlos Flores Facusse.JPG,Carlos Roberto Flores
Honduras,President,Ricardo Maduro,Q441393,2002-01-27,2006-01-27,male,1946-04-20,,US Navy 030820-F-2828D-168 Honduran President Ricardo Maduro 2003-08-20.jpg,Ricardo Maduro
Honduras,President,Manuel Zelaya,Q191060,2006-01-27,2009-06-28,male,1952-09-20,,Manuel Zelaya 2022.jpg,Manuel Zelaya
Honduras,President,Roberto Micheletti,Q299442,2009-06-28,2010-01-27,male,1943-08-13,,Roberto micheletti 01.jpg,Roberto Micheletti
Honduras,President,Porfirio Lobo Sosa,Q4737,2010-01-27,2014-01-27,male,1947-12-22,,Pepe Lobo 2010-01-27.jpg,Porfirio Lobo Sosa
Honduras,President,Juan Orlando Hernández,Q5951723,2014-01-27,2022-01-27,male,1968-10-28,,"Juan Orlando Hernández, May 2015.jpg",Juan Orlando Hernández
Honduras,President,Xiomara Castro,Q8044708,2022-01-27,,female,1959-09-30,,Xiomara Castro 2022 (cropped).jpg,Xiomara Castro
Honduras,Secretary of Agriculture,Laura Suazo,Q110787218,2022-01-27,,female,,,,
Honduras,Secretary of Art and Culture,Anarella Vélez,Q112916742,2022-01-27,,female,,,Anarella Vélez.jpg,
Honduras,Secretary of Communications,Ivis Alvarado,Q114713840,2022-01-27,,male,,,,
Honduras,Secretary of Defence,Edmundo Orellana,Q3577002,2009-01-31,2009-06-24,male,1948-10-20,,,Edmundo Orellana
Honduras,Secretary of Defence,José Manuel Zelaya,Q110787063,2022-01-27,,male,,,,
Honduras,Secretary of Development and Social Inclusion,José Carlos Cardona,Q114713841,2022-01-27,,male,,,,
Honduras,Secretary of Economic Development,Pedro Barquero,Q114713846,2022-01-27,,male,,,,
Honduras,Secretary of Education,Daniel Sponda,Q110787162,2022-01-27,,male,,,,
Honduras,"Secretary of Energy, Natural Resources, Environment, and Mines",Lucky Medina,Q114713842,2022-01-27,,male,,,,
Honduras,Secretary of Finance,Rixi Moncada,Q76760763,2022-01-27,,female,1965,,,
Honduras,Secretary of Foreign Affairs,Guillermo Pérez Arias,Q108426442,2002,2003,male,,,,
Honduras,Secretary of Foreign Affairs,Aníbal Quiñónez,Q108426443,2003,2003,male,,,,
Honduras,Secretary of Foreign Affairs,Leónidas Rosa Bautista,Q108426444,2003,2005,male,,,,
Honduras,Secretary of Foreign Affairs,Mario Fortín,Q108426445,2005,2006,male,,,,
Honduras,Secretary of Foreign Affairs,Milton Jiménez,Q1935907,2006,2008,male,1961-11-08,,,Milton Jiménez
Honduras,Secretary of Foreign Affairs,Edmundo Orellana,Q3577002,2008,2009,male,1948-10-20,,,Edmundo Orellana
Honduras,Secretary of Foreign Affairs,Carlos López Contreras,Q1043023,2009,2010,male,1942-01-31,,,Carlos López Contreras
Honduras,Secretary of Foreign Affairs,Enrique Ortez,Q443514,2009,2009,male,1931-10-29,,,Enrique Ortez
Honduras,Secretary of Foreign Affairs,Patricia Rodas,Q9056875,2009-01-06,2009-06-28,female,1960-06-22,,Patricia Rodas (cropped).jpg,Patricia Rodas
