catalog,position,person,personID,start,gender,DOB,DOD,image,enwiki
Ukraine,President,Volodymyr Zelenskyy,Q3874799,2019-05-20,male,1978-01-25,,Volodymyr Zelensky Official portrait (cropped).jpg,Volodymyr Zelenskyy
Ukraine,Prime Minister,Denys Shmyhal,Q66094865,2020-03-04,male,1975-10-15,,Денис Шмигаль (08-12-2020) (cropped).jpg,Denys Shmyhal
Ukraine,First Deputy Prime Minister,Yulia Svyrydenko,Q61112536,2021-11-04,female,1985-12-25,,Yulia Svyrydenko.jpg,Yulia Svyrydenko
Ukraine,Deputy Prime Minister,Mykhailo Fedorov,Q64495543,2020-03-04,male,1991-01-21,,Mykhailo Fedorov.jpg,Mykhailo Fedorov
Ukraine,Deputy Prime Minister,Iryna Vereshchuk,Q20066227,2021-11-04,female,1979-11-30,,Верещук Ірина Андріївна 2022 рік.jpg,Iryna Vereshchuk
Ukraine,Deputy Prime Minister for European and Euro-Atlantic Integration,Olha Stefanyshyna,Q96058561,2020-03-04,female,1985-10-29,,Olga Stefanishina 1 (cropped).png,Olha Stefanishyna
Ukraine,Minister of Agrarian Policy and Food,Mykola Solsky,Q79291635,2022-03-24,male,1979-05-22,,,
Ukraine,Minister of Culture and Information Policy,Oleksandr Tkachenko,Q4458923,2020-06-04,male,1966-01-22,,Олександр Ткаченко.jpg,Oleksandr Tkachenko (journalist)
Ukraine,Minister of Defence,Oleksii Reznikov,Q4392444,2021-11-04,male,1966-06-18,,Oleksii Reznikov (portrait).jpg,Oleksii Reznikov
Ukraine,Minister of Digital Transformation,Mykhailo Fedorov,Q64495543,2020-03-04,male,1991-01-21,,Mykhailo Fedorov.jpg,Mykhailo Fedorov
Ukraine,Minister of Ecology and Natural Resources,Ruslan Strilets,Q110234969,2021-11-04,male,,,Ruslan Strilets.jpg,
Ukraine,Minister of Economy,Yulia Svyrydenko,Q61112536,2021-11-04,female,1985-12-25,,Yulia Svyrydenko.jpg,Yulia Svyrydenko
Ukraine,Minister of Education and Science,Serhiy Shkarlet,Q16723829,2020-06-25,male,1972-10-19,,Shkarlet.jpg,Serhiy Shkarlet
Ukraine,Minister of Energy,German Galushchenko,Q107620810,2020-03-04,male,1973-05-01,,,
Ukraine,Minister of Finance,Serhiy Marchenko,Q89034171,2020-03-04,male,1981-01-24,,Serhiy Marchenko.jpg,Serhiy Marchenko
Ukraine,Minister of Foreign Affairs,Dmytro Kuleba,Q24025631,2020-03-04,male,1981-04-19,,Дмитро Кулеба 1 (cropped).jpg,Dmytro Kuleba
Ukraine,Minister of Health,Viktor Liashko,Q89190512,2021-05-20,male,1980-04-24,,UA Тернопіль - 2020-04-04 - Головний санітарний лікар України Віктор Ляшко про ситуацію з коронавірусом на Тернопільщині - 0122.jpg,Viktor Liashko
Ukraine,Minister of Infrastructure,Oleksandr Kubrakov,Q66809451,2021-05-20,male,1982-08-20,,"Чортків, Олександр Кубраков, 2020.jpg",Oleksandr Kubrakov
Ukraine,Minister of Interior Affairs,Denys Monastyrskyi,Q65198777,2021-07-16,male,1980-06-12,,Denys Monastyrsky.jpg,Denys Monastyrsky
Ukraine,Minister of Justice,Denys Maliuska,Q66809435,2020-03-04,male,1981-11-19,,Denys Malyuska.jpg,Denys Maliuska
Ukraine,Minister of Regional Development,Oleksiy Chernyshov,Q42792644,2020-03-04,male,1977-09-04,,Chernishov Oleksiy (2020 portrait).jpg,Oleksiy Chernyshov
Ukraine,Minister of Social Policy,Maryna Lazebna,Q87073176,2020-03-04,female,1975-06-10,,Лазебна Марина Володимирівна.jpg,Maryna Lazebna
Ukraine,Minister for Strategic Industries,Pavlo Riabikin,Q12149573,2021-11-04,male,1965-06-06,,Pavlo Ryabikin.jpg,
Ukraine,Minister of Temporarily Occupied Territories and IDPs,Iryna Vereshchuk,Q20066227,2021-11-04,female,1979-11-30,,Верещук Ірина Андріївна 2022 рік.jpg,Iryna Vereshchuk
Ukraine,Minister for Veterans' Affairs,Yuliia Laputina,Q88653809,2020-12-18,female,1967,,Yuliia Laputina at Kharkiv Security Forum 2019.jpg,
Ukraine,Minister of Youth and Sports,Vadim Gutzeit,Q922349,2020-03-04,male,1971-10-06,,Vadym Huttsait portrait.jpg,Vadym Gutzeit
Ukraine,Minister of the Cabinet of Ministers,Oleh Nemchinov,Q65197482,2020-03-04,male,1977-05-01,,Oleh Nemchinov (portrait).jpg,Oleh Nemchinov
Ukraine,Head of the Office of the President,Andriy Yermak,Q65200615,2020-02-11,male,1971-11-21,,Андрій Єрмак під час брифінгу (cropped).jpg,Andriy Yermak
Ukraine,Chairman of the Verkhovna Rada,Ruslan Stefanchuk,Q20070130,2021-10-08,male,1975-10-29,,Ruslan Stefanchuk podium (cropped).jpg,Ruslan Stefanchuk
Ukraine,Head of Kyiv City State Administration,Vitali Klitschko,Q31919,2014-06-25,male,1971-07-19,,2014-09-12 - Vitali Klitschko - 9019 (cropped).jpg,Vitali Klitschko
Ukraine,Head of Kyiv City,Vitali Klitschko,Q31919,2014-06-05,male,1971-07-19,,2014-09-12 - Vitali Klitschko - 9019 (cropped).jpg,Vitali Klitschko
Ukraine,Governor of the National Bank,Kyrylo Shevchenko,Q28701679,2020-07-16,male,1972-10-25,,Foto KShevchenko 2017.jpg,Kyrylo Shevchenko
Ukraine,Chief of the General Staff,Serhiy Shaptala,Q20070771,2021-07-28,male,1973-02-05,,Shaptala S O.jpg,Serhiy Shaptala
Ukraine,Head of the Foreign Intelligence Service,Oleksandr Litvinenko,Q12118123,2021-07-27,male,1972-04-27,,,
Ukraine,Head of the Security Service,Ivan Bakanov,Q62726046,2019-05-22,male,1975-05-02,,Баканов Іван (cropped).jpeg,Ivan Bakanov
Ukraine,Secretary of the National Security and Defense Council,Oleksiy Danilov,Q4154638,2019-10-03,male,1962-09-07,,Oleksiy Danilov (cropped).jpg,Oleksiy Danilov
